Author	Link	identifier
Anne Busken Huet-van der Tholl	https://www.dbnl.org/auteurs/auteur.php?id=busk003	busk003
Jacob de Witt	https://www.dbnl.org/auteurs/auteur.php?id=witt028	witt028
Johannes Reitsma A.Tzn.	https://www.dbnl.org/auteurs/auteur.php?id=reit004	reit004
Gerrit de Vries	https://www.dbnl.org/auteurs/auteur.php?id=vrie071	vrie071
A.S.C. Wallis	https://www.dbnl.org/auteurs/auteur.php?id=wall010	wall010
Jan Philip de Bordes	https://www.dbnl.org/auteurs/auteur.php?id=bord004	bord004
Gerard Valette	https://www.dbnl.org/auteurs/auteur.php?id=vale007	vale007
Max Rooses	https://www.dbnl.org/auteurs/auteur.php?id=roos015	roos015
L.A.J. Burgersdijk	https://www.dbnl.org/auteurs/auteur.php?id=burg015	burg015
Petrus Martinus Bots	https://www.dbnl.org/auteurs/auteur.php?id=bots002	bots002
Pieter Rutger Feith	https://www.dbnl.org/auteurs/auteur.php?id=feit006	feit006
M.E.F. Elout van Soeterwoude	https://www.dbnl.org/auteurs/auteur.php?id=elou003	elou003
A.E.J. Holwerda	https://www.dbnl.org/auteurs/auteur.php?id=holw005	holw005
Abraham Robert Arntzenius	https://www.dbnl.org/auteurs/auteur.php?id=arnt008	arnt008
David van Hoogstraten	https://www.dbnl.org/auteurs/auteur.php?id=hoog002	hoog002
Carl Ludwig Lütkebühl jr.	https://www.dbnl.org/auteurs/auteur.php?id=lutk003	lutk003
Gerard Heymans	https://www.dbnl.org/auteurs/auteur.php?id=heym005	heym005
Virginie Loveling	https://www.dbnl.org/auteurs/auteur.php?id=love002	love002
J. Röell	https://www.dbnl.org/auteurs/auteur.php?id=roel026	roel026
Jan Jacob van Geuns	https://www.dbnl.org/auteurs/auteur.php?id=geun003	geun003
J.J.P. Valeton	https://www.dbnl.org/auteurs/auteur.php?id=vale011	vale011
J.D. de Jong	https://www.dbnl.org/auteurs/auteur.php?id=jong142	jong142
M.C. Tideman	https://www.dbnl.org/auteurs/auteur.php?id=tide006	tide006
R. Feith	https://www.dbnl.org/auteurs/auteur.php?id=feit026	feit026
François de Bas	https://www.dbnl.org/auteurs/auteur.php?id=bas_016	bas_016
H. Koekebakker	https://www.dbnl.org/auteurs/auteur.php?id=koek004	koek004
Pol de Mont	https://www.dbnl.org/auteurs/auteur.php?id=mont003	mont003
J.A. Worp	https://www.dbnl.org/auteurs/auteur.php?id=worp001	worp001
J.A. Bientjes	https://www.dbnl.org/auteurs/auteur.php?id=bien003	bien003
L. de Vlaming	https://www.dbnl.org/auteurs/auteur.php?id=vlam010	vlam010
A.J.W. Farncombe Sanders	https://www.dbnl.org/auteurs/auteur.php?id=farn002	farn002
Joh. Dyserinck	https://www.dbnl.org/auteurs/auteur.php?id=dyse002	dyse002
George Eliot	https://www.dbnl.org/auteurs/auteur.php?id=elio001	elio001
H.L.F. Pisuisse	https://www.dbnl.org/auteurs/auteur.php?id=pisu002	pisu002
Jan van Beers	https://www.dbnl.org/auteurs/auteur.php?id=beer008	beer008
Hermannus Bouman	https://www.dbnl.org/auteurs/auteur.php?id=boum010	boum010
J.H. Hooijer	https://www.dbnl.org/auteurs/auteur.php?id=hooi007	hooi007
Anthony Beaujon	https://www.dbnl.org/auteurs/auteur.php?id=beau011	beau011
M.A. Perk	https://www.dbnl.org/auteurs/auteur.php?id=perk005	perk005
Jac. Moleschott	https://www.dbnl.org/auteurs/auteur.php?id=mole019	mole019
Johannes Hermanus Gunning jr.	https://www.dbnl.org/auteurs/auteur.php?id=gunn002	gunn002
W.C. Mees	https://www.dbnl.org/auteurs/auteur.php?id=mees020	mees020
Pieter Bruin	https://www.dbnl.org/auteurs/auteur.php?id=brui022	brui022
H.L. Drucker	https://www.dbnl.org/auteurs/auteur.php?id=druc003	druc003
S.J. Fockema Andreae	https://www.dbnl.org/auteurs/auteur.php?id=fock001	fock001
Philippus van Blom	https://www.dbnl.org/auteurs/auteur.php?id=blom007	blom007
J. 't Hart	https://www.dbnl.org/auteurs/auteur.php?id=hart004	hart004
C.C. Geertsema	https://www.dbnl.org/auteurs/auteur.php?id=geer034	geer034
R.P.J. Tutein Nolthenius	https://www.dbnl.org/auteurs/auteur.php?id=nolt002	nolt002
E.B. Kielstra	https://www.dbnl.org/auteurs/auteur.php?id=kiel003	kiel003
B. Sijmons	https://www.dbnl.org/auteurs/auteur.php?id=sijm001	sijm001
Constantinus Bake	https://www.dbnl.org/auteurs/auteur.php?id=bake002	bake002
Josephine Giese	https://www.dbnl.org/auteurs/auteur.php?id=gies001	gies001
Louis Couperus	https://www.dbnl.org/auteurs/auteur.php?id=coup002	coup002
J.W. van der Linden	https://www.dbnl.org/auteurs/auteur.php?id=lind048	lind048
Hijman Binger	https://www.dbnl.org/auteurs/auteur.php?id=bing001	bing001
Jan Carel Matthes	https://www.dbnl.org/auteurs/auteur.php?id=matt016	matt016
Jacob Kuyper Hzn.	https://www.dbnl.org/auteurs/auteur.php?id=kuyp015	kuyp015
Jan Izaak van Doorninck	https://www.dbnl.org/auteurs/auteur.php?id=door018	door018
Martina Geertruida Sara van der Feen	https://www.dbnl.org/auteurs/auteur.php?id=feen004	feen004
W. Gosler	https://www.dbnl.org/auteurs/auteur.php?id=gosl003	gosl003
Hélène Swarth	https://www.dbnl.org/auteurs/auteur.php?id=swar008	swar008
A. Bruining	https://www.dbnl.org/auteurs/auteur.php?id=brui043	brui043
P.A.M. Boele van Hensbroek	https://www.dbnl.org/auteurs/auteur.php?id=boel001	boel001
Fiore della Neve	https://www.dbnl.org/auteurs/auteur.php?id=fior001	fior001
J.P. Hasebroek	https://www.dbnl.org/auteurs/auteur.php?id=hase002	hase002
J.C. Loman jr.	https://www.dbnl.org/auteurs/auteur.php?id=loma006	loma006
Pieter Gerard van Schermbeek	https://www.dbnl.org/auteurs/auteur.php?id=sche087	sche087
Abraham Bredius	https://www.dbnl.org/auteurs/auteur.php?id=bred004	bred004
P.W.A. Cort van der Linden	https://www.dbnl.org/auteurs/auteur.php?id=cort003	cort003
Pierre Daniel Chantepie de la Saussaye	https://www.dbnl.org/auteurs/auteur.php?id=chan003	chan003
C.H. den Hertog	https://www.dbnl.org/auteurs/auteur.php?id=hert003	hert003
Marie Agathe Boddaert	https://www.dbnl.org/auteurs/auteur.php?id=bodd003	bodd003
W.C. van Manen	https://www.dbnl.org/auteurs/auteur.php?id=mane004	mane004
B. Dorhout Mees	https://www.dbnl.org/auteurs/auteur.php?id=dorh003	dorh003
Willem van der Vlugt	https://www.dbnl.org/auteurs/auteur.php?id=vlug002	vlug002
Theodoor Carel Gobée	https://www.dbnl.org/auteurs/auteur.php?id=gobe002	gobe002
F.S. van Nierop	https://www.dbnl.org/auteurs/auteur.php?id=nier010	nier010
A.W. Kroon-Star Numan	https://www.dbnl.org/auteurs/auteur.php?id=kroo016	kroo016
Arnold Werumeus Buning	https://www.dbnl.org/auteurs/auteur.php?id=weru001	weru001
Frans Netscher	https://www.dbnl.org/auteurs/auteur.php?id=nets002	nets002
Geertruida Carelsen	https://www.dbnl.org/auteurs/auteur.php?id=care001	care001
Jan Six	https://www.dbnl.org/auteurs/auteur.php?id=six_004	six_004
W.G.C. Byvanck	https://www.dbnl.org/auteurs/auteur.php?id=byva001	byva001
F.J.L. Krämer	https://www.dbnl.org/auteurs/auteur.php?id=kram020	kram020
Henri David Levyssohn Norman	https://www.dbnl.org/auteurs/auteur.php?id=levy003	levy003
Christiaan Snouck Hurgronje	https://www.dbnl.org/auteurs/auteur.php?id=snou004	snou004
Adriaan Pit	https://www.dbnl.org/auteurs/auteur.php?id=pit_001	pit_001
Elise Knuttel-Fabius	https://www.dbnl.org/auteurs/auteur.php?id=knut002	knut002
Albartus Telting	https://www.dbnl.org/auteurs/auteur.php?id=telt003	telt003
Johannes Mulder	https://www.dbnl.org/auteurs/auteur.php?id=muld024	muld024
Joan Bohl	https://www.dbnl.org/auteurs/auteur.php?id=bohl001	bohl001
S.E. Harthoorn	https://www.dbnl.org/auteurs/auteur.php?id=hart059	hart059
Willem Pieter Cornelis Knuttel	https://www.dbnl.org/auteurs/auteur.php?id=knut004	knut004
G.W. Bruinsma	https://www.dbnl.org/auteurs/auteur.php?id=brui044	brui044
Albertus Hendrikus Nijland	https://www.dbnl.org/auteurs/auteur.php?id=nijl004	nijl004
Matthias de Vries	https://www.dbnl.org/auteurs/auteur.php?id=vrie042	vrie042
Louis Trenard	https://www.dbnl.org/auteurs/auteur.php?id=tren001	tren001
Gerard Slothouwer	https://www.dbnl.org/auteurs/auteur.php?id=slot004	slot004
Emile Seipgens	https://www.dbnl.org/auteurs/auteur.php?id=seip002	seip002
Th. Swart Abrahamsz	https://www.dbnl.org/auteurs/auteur.php?id=swar001	swar001
Willem A. Hecker	https://www.dbnl.org/auteurs/auteur.php?id=heck006	heck006
Willem Jacob Manssen	https://www.dbnl.org/auteurs/auteur.php?id=mans007	mans007
J.H. Kips	https://www.dbnl.org/auteurs/auteur.php?id=kips001	kips001
George Alexander Wilken	https://www.dbnl.org/auteurs/auteur.php?id=wilk004	wilk004
N.J. Singels	https://www.dbnl.org/auteurs/auteur.php?id=sing005	sing005
Samuel Muller	https://www.dbnl.org/auteurs/auteur.php?id=mull012	mull012
Herman Frederik Carel ten Kate	https://www.dbnl.org/auteurs/auteur.php?id=kate004	kate004
Pieter Nicolaas van Kampen	https://www.dbnl.org/auteurs/auteur.php?id=kamp006	kamp006
A. Kluijver	https://www.dbnl.org/auteurs/auteur.php?id=klui001	klui001
Frits Lapidoth	https://www.dbnl.org/auteurs/auteur.php?id=lapi001	lapi001
Jan F. Beekman	https://www.dbnl.org/auteurs/auteur.php?id=beek008	beek008
J.H. van den Bosch	https://www.dbnl.org/auteurs/auteur.php?id=bosc009	bosc009
J. Menno Huizinga	https://www.dbnl.org/auteurs/auteur.php?id=huiz011	huiz011
J.J.A.A. Frantzen	https://www.dbnl.org/auteurs/auteur.php?id=fran046	fran046
J.E. Sachse	https://www.dbnl.org/auteurs/auteur.php?id=sach003	sach003
H. Was	https://www.dbnl.org/auteurs/auteur.php?id=was_001	was_001
H.J. Polak	https://www.dbnl.org/auteurs/auteur.php?id=pola005	pola005
Marcellus Emants	https://www.dbnl.org/auteurs/auteur.php?id=eman001	eman001
W. Jaeger	https://www.dbnl.org/auteurs/auteur.php?id=jaeg007	jaeg007
C.A. Steger	https://www.dbnl.org/auteurs/auteur.php?id=steg013	steg013
J.A. Tours	https://www.dbnl.org/auteurs/auteur.php?id=tour005	tour005
Izaak Jan le Cosquino de Bussy	https://www.dbnl.org/auteurs/auteur.php?id=buss013	buss013
J.B.C. Adriaensen	https://www.dbnl.org/auteurs/auteur.php?id=adri011	adri011
Jacob Samuel Speyer	https://www.dbnl.org/auteurs/auteur.php?id=spey003	spey003
W.L. Penning	https://www.dbnl.org/auteurs/auteur.php?id=penn007	penn007
R.A. Kollewijn	https://www.dbnl.org/auteurs/auteur.php?id=koll003	koll003
N.P. van den Berg	https://www.dbnl.org/auteurs/auteur.php?id=berg076	berg076
Johanna A. Wolters	https://www.dbnl.org/auteurs/auteur.php?id=wolt012	wolt012
C.C. Uhlenbeck	https://www.dbnl.org/auteurs/auteur.php?id=uhle002	uhle002
Sybrandus Johannes Fockema Andreae	https://www.dbnl.org/auteurs/auteur.php?id=fock004	fock004
G.J. Boekenoogen	https://www.dbnl.org/auteurs/auteur.php?id=boek004	boek004
L.W.C. van den Berg	https://www.dbnl.org/auteurs/auteur.php?id=berg075	berg075
A.J. Immink	https://www.dbnl.org/auteurs/auteur.php?id=immi003	immi003
P.J. Blok	https://www.dbnl.org/auteurs/auteur.php?id=blok013	blok013
Leo Simons	https://www.dbnl.org/auteurs/auteur.php?id=simo013	simo013
H. J. Eymael	https://www.dbnl.org/auteurs/auteur.php?id=eyma001	eyma001
G.H. Priem	https://www.dbnl.org/auteurs/auteur.php?id=prie001	prie001
S.J. Warren	https://www.dbnl.org/auteurs/auteur.php?id=warr005	warr005
K.O. Meinsma	https://www.dbnl.org/auteurs/auteur.php?id=mein013	mein013
J.H. Groenewegen	https://www.dbnl.org/auteurs/auteur.php?id=groe046	groe046
J.F. van Bemmelen	https://www.dbnl.org/auteurs/auteur.php?id=bemm008	bemm008
Leopold	https://www.dbnl.org/auteurs/auteur.php?id=leop010	leop010
A.J. Bothenius Brouwer	https://www.dbnl.org/auteurs/auteur.php?id=both008	both008
J.G. Gleichman	https://www.dbnl.org/auteurs/auteur.php?id=glei001	glei001
Hendrik Barend Greven	https://www.dbnl.org/auteurs/auteur.php?id=grev010	grev010
Bernhard van Meurs	https://www.dbnl.org/auteurs/auteur.php?id=meur003	meur003
Wolfgang Brandt	https://www.dbnl.org/auteurs/auteur.php?id=bran028	bran028
Jan Frederik Niermeyer	https://www.dbnl.org/auteurs/auteur.php?id=nier008	nier008
R.C. Boer	https://www.dbnl.org/auteurs/auteur.php?id=boer043	boer043
Willem Frederik Andriessen	https://www.dbnl.org/auteurs/auteur.php?id=andr028	andr028
Herman Heijermans	https://www.dbnl.org/auteurs/auteur.php?id=heij011	heij011
L. Knappert	https://www.dbnl.org/auteurs/auteur.php?id=knap006	knap006
Edward B. Koster	https://www.dbnl.org/auteurs/auteur.php?id=kost005	kost005
Marie Snijder van Wissenkerke	https://www.dbnl.org/auteurs/auteur.php?id=snij011	snij011
Arnoldus Nicolaas Jacobus Fabius	https://www.dbnl.org/auteurs/auteur.php?id=fabi001	fabi001
M. Straub	https://www.dbnl.org/auteurs/auteur.php?id=stra033	stra033
Samuel Kalff	https://www.dbnl.org/auteurs/auteur.php?id=kalf005	kalf005
J.P. Moltzer	https://www.dbnl.org/auteurs/auteur.php?id=molt004	molt004
H. Logeman	https://www.dbnl.org/auteurs/auteur.php?id=loge001	loge001
Willem Bilderdijk	https://www.dbnl.org/auteurs/auteur.php?id=bild002	bild002
S.R. Steinmetz	https://www.dbnl.org/auteurs/auteur.php?id=stei012	stei012
B.J.H. Ovink	https://www.dbnl.org/auteurs/auteur.php?id=ovin002	ovin002
J.E. Enklaar	https://www.dbnl.org/auteurs/auteur.php?id=enkl004	enkl004
Frans Coenen	https://www.dbnl.org/auteurs/auteur.php?id=coen006	coen006
Elie van Rijckevorsel	https://www.dbnl.org/auteurs/auteur.php?id=rijc010	rijc010
Philippe Zilcken	https://www.dbnl.org/auteurs/auteur.php?id=zilc001	zilc001
Cyriel Buysse	https://www.dbnl.org/auteurs/auteur.php?id=buys009	buys009
A.W. Pulle	https://www.dbnl.org/auteurs/auteur.php?id=pull003	pull003
Jan Veth	https://www.dbnl.org/auteurs/auteur.php?id=veth003	veth003
Joannes van der Vliet	https://www.dbnl.org/auteurs/auteur.php?id=vlie012	vlie012
L. Serrurier	https://www.dbnl.org/auteurs/auteur.php?id=serr012	serr012
Nicolaas Dirk Doedes	https://www.dbnl.org/auteurs/auteur.php?id=doed004	doed004
Betsy Juta	https://www.dbnl.org/auteurs/auteur.php?id=juta001	juta001
August Gittée	https://www.dbnl.org/auteurs/auteur.php?id=gitt002	gitt002
Willem Gerard van Nouhuys	https://www.dbnl.org/auteurs/auteur.php?id=nouh001	nouh001
J.F.D. Blöte	https://www.dbnl.org/auteurs/auteur.php?id=blot002	blot002
anoniem Ridder metter swane	https://www.dbnl.org/auteurs/auteur.php?id=_rid002	_rid002
Ch.M. van Deventer	https://www.dbnl.org/auteurs/auteur.php?id=deve002	deve002
C.H.H. Spronck	https://www.dbnl.org/auteurs/auteur.php?id=spro005	spro005
Johannes Theodorus Petrus de Groot	https://www.dbnl.org/auteurs/auteur.php?id=groo037	groo037
F.V. Engelenburg	https://www.dbnl.org/auteurs/auteur.php?id=enge042	enge042
Gerard Vissering	https://www.dbnl.org/auteurs/auteur.php?id=viss057	viss057
H.Z. Zegers de Beijl	https://www.dbnl.org/auteurs/auteur.php?id=zege003	zege003
Frederike J. van Uildriks	https://www.dbnl.org/auteurs/auteur.php?id=uild001	uild001
H.S.M. Wickevoort Crommelin	https://www.dbnl.org/auteurs/auteur.php?id=wick002	wick002
Philippus Samuel van Ronkel	https://www.dbnl.org/auteurs/auteur.php?id=ronk002	ronk002
J.H. van 't Hoff	https://www.dbnl.org/auteurs/auteur.php?id=hoff014	hoff014
A.G. van Hamel	https://www.dbnl.org/auteurs/auteur.php?id=hame001	hame001
H. Heukels	https://www.dbnl.org/auteurs/auteur.php?id=heuk002	heuk002
G.F. Haspels	https://www.dbnl.org/auteurs/auteur.php?id=hasp001	hasp001
Willem Duflou	https://www.dbnl.org/auteurs/auteur.php?id=dufl001	dufl001
C. Winkler	https://www.dbnl.org/auteurs/auteur.php?id=wink016	wink016
Jan Marcus Hoogvliet	https://www.dbnl.org/auteurs/auteur.php?id=hoog046	hoog046
C.A. Pekelharing	https://www.dbnl.org/auteurs/auteur.php?id=peke005	peke005
H.Y. Groenewegen	https://www.dbnl.org/auteurs/auteur.php?id=groe048	groe048
Foeke Buitenrust Hettema	https://www.dbnl.org/auteurs/auteur.php?id=buit003	buit003
W.L.P.A. Molengraaff	https://www.dbnl.org/auteurs/auteur.php?id=mole017	mole017
Ida Heijermans	https://www.dbnl.org/auteurs/auteur.php?id=heij023	heij023
Jacob Gerard Patijn	https://www.dbnl.org/auteurs/auteur.php?id=pati001	pati001
W.M. Engelberts	https://www.dbnl.org/auteurs/auteur.php?id=enge041	enge041
H.A. Lorentz	https://www.dbnl.org/auteurs/auteur.php?id=lore002	lore002
H. Zwaardemaker	https://www.dbnl.org/auteurs/auteur.php?id=zwaa013	zwaa013
Augusta de Wit	https://www.dbnl.org/auteurs/auteur.php?id=wit_001	wit_001
Hendrik Clemens Muller	https://www.dbnl.org/auteurs/auteur.php?id=mull008	mull008
L.J. Plemp van Duiveland	https://www.dbnl.org/auteurs/auteur.php?id=plem006	plem006
J. Mathijs Acket	https://www.dbnl.org/auteurs/auteur.php?id=acke006	acke006
G. den Tex	https://www.dbnl.org/auteurs/auteur.php?id=tex_005	tex_005
H. Tz. Pyttersen	https://www.dbnl.org/auteurs/auteur.php?id=pytt002	pytt002
Johan Hora Adema	https://www.dbnl.org/auteurs/auteur.php?id=hora001	hora001
Maurits Wagenvoort	https://www.dbnl.org/auteurs/auteur.php?id=wage014	wage014
Carel Scharten	https://www.dbnl.org/auteurs/auteur.php?id=scha043	scha043
C.A.E. Wichmann	https://www.dbnl.org/auteurs/auteur.php?id=wich007	wich007
D.C. Hesseling	https://www.dbnl.org/auteurs/auteur.php?id=hess002	hess002
Frederik van Eeden	https://www.dbnl.org/auteurs/auteur.php?id=eede003	eede003
Frank van der Goes	https://www.dbnl.org/auteurs/auteur.php?id=goes001	goes001
M.W.F. Treub	https://www.dbnl.org/auteurs/auteur.php?id=treu002	treu002
B.D. Eerdmans	https://www.dbnl.org/auteurs/auteur.php?id=eerd004	eerd004
W.Ph. Scheuer	https://www.dbnl.org/auteurs/auteur.php?id=sche124	sche124
Joh. H. Been	https://www.dbnl.org/auteurs/auteur.php?id=been001	been001
H.A. Kooyker	https://www.dbnl.org/auteurs/auteur.php?id=kooy004	kooy004
F. Beelaerts van Blokland	https://www.dbnl.org/auteurs/auteur.php?id=beel011	beel011
G.H. Marius	https://www.dbnl.org/auteurs/auteur.php?id=mari030	mari030
G.J. Kolff	https://www.dbnl.org/auteurs/auteur.php?id=kolf002	kolf002
H.W.Ph.E. van den Bergh van Eysinga	https://www.dbnl.org/auteurs/auteur.php?id=berg048	berg048
Hendrik Doeff	https://www.dbnl.org/auteurs/auteur.php?id=doef001	doef001
O.M. de Munnick	https://www.dbnl.org/auteurs/auteur.php?id=munn005	munn005
Anna van Hogendorp	https://www.dbnl.org/auteurs/auteur.php?id=hoge020	hoge020
J.H. van den Broek	https://www.dbnl.org/auteurs/auteur.php?id=broe071	broe071
Gerrit Halfcaegh	https://www.dbnl.org/auteurs/auteur.php?id=half003	half003
Herman Muntinghe	https://www.dbnl.org/auteurs/auteur.php?id=munt002	munt002
Gianni Riotta	https://www.dbnl.org/auteurs/auteur.php?id=riot001	riot001
J.W. Doyer Jz.	https://www.dbnl.org/auteurs/auteur.php?id=doye007	doye007
G.P. Rouffaer	https://www.dbnl.org/auteurs/auteur.php?id=rouf001	rouf001
Margo Scharten-Antink	https://www.dbnl.org/auteurs/auteur.php?id=scha042	scha042
A.W. Byvanck	https://www.dbnl.org/auteurs/auteur.php?id=byva002	byva002
Johannes Hermanus Gunning J. Hzn.	https://www.dbnl.org/auteurs/auteur.php?id=gunn004	gunn004
D.G. Jelgersma	https://www.dbnl.org/auteurs/auteur.php?id=jelg003	jelg003
Margaretha Meijboom	https://www.dbnl.org/auteurs/auteur.php?id=meij004	meij004
D.E. Siegenbeek van Heukelom	https://www.dbnl.org/auteurs/auteur.php?id=sieg004	sieg004
D. Simons	https://www.dbnl.org/auteurs/auteur.php?id=simo030	simo030
Egberdina Anna Junius	https://www.dbnl.org/auteurs/auteur.php?id=juni004	juni004
F.A.F.C. Went	https://www.dbnl.org/auteurs/auteur.php?id=went003	went003
Julius de Boer	https://www.dbnl.org/auteurs/auteur.php?id=boer014	boer014
Gerrit van Gorkom	https://www.dbnl.org/auteurs/auteur.php?id=gork001	gork001
Hendrik Johan Haverman	https://www.dbnl.org/auteurs/auteur.php?id=have018	have018
L.S. Meijer	https://www.dbnl.org/auteurs/auteur.php?id=meij054	meij054
H.T. Colenbrander	https://www.dbnl.org/auteurs/auteur.php?id=cole002	cole002
Aletta H. Jacobs	https://www.dbnl.org/auteurs/auteur.php?id=jaco045	jaco045
Paul François Hubrecht	https://www.dbnl.org/auteurs/auteur.php?id=hubr002	hubr002
Charlotte van Herwerden	https://www.dbnl.org/auteurs/auteur.php?id=herw003	herw003
C.H.Th. Bussemaker	https://www.dbnl.org/auteurs/auteur.php?id=buss014	buss014
L.E. Visser	https://www.dbnl.org/auteurs/auteur.php?id=viss074	viss074
Anna Ekker	https://www.dbnl.org/auteurs/auteur.php?id=ekke005	ekke005
Conrad Th. van Deventer	https://www.dbnl.org/auteurs/auteur.php?id=deve006	deve006
Judith Viorst	https://www.dbnl.org/auteurs/auteur.php?id=vior001	vior001
Frans Mijnssen	https://www.dbnl.org/auteurs/auteur.php?id=mijn001	mijn001
Ida Haakman	https://www.dbnl.org/auteurs/auteur.php?id=haak010	haak010
Nellie van Kol	https://www.dbnl.org/auteurs/auteur.php?id=kol_001	kol_001
Fleur Bourgonje	https://www.dbnl.org/auteurs/auteur.php?id=bour005	bour005
Anna Germonprez	https://www.dbnl.org/auteurs/auteur.php?id=germ003	germ003
M. Tonnet	https://www.dbnl.org/auteurs/auteur.php?id=tonn003	tonn003
Gerard van Eckeren	https://www.dbnl.org/auteurs/auteur.php?id=ecke001	ecke001
M.J. Pijnappel	https://www.dbnl.org/auteurs/auteur.php?id=pijn007	pijn007
Aloysius Brouwer Ancher	https://www.dbnl.org/auteurs/auteur.php?id=brou050	brou050
Hugo Krabbe	https://www.dbnl.org/auteurs/auteur.php?id=krab006	krab006
J.W. Jenny Weijerman	https://www.dbnl.org/auteurs/auteur.php?id=jenn004	jenn004
P.C. Boutens	https://www.dbnl.org/auteurs/auteur.php?id=bout005	bout005
Bas Veth	https://www.dbnl.org/auteurs/auteur.php?id=veth001	veth001
C.H. Kühn	https://www.dbnl.org/auteurs/auteur.php?id=kuhn002	kuhn002
J.C. van Leyden	https://www.dbnl.org/auteurs/auteur.php?id=leyd010	leyd010
W.P. Kops	https://www.dbnl.org/auteurs/auteur.php?id=kops005	kops005
S. van Aken	https://www.dbnl.org/auteurs/auteur.php?id=aken008	aken008
G.H. Betz	https://www.dbnl.org/auteurs/auteur.php?id=betz003	betz003
A.D. van Assendelft de Coningh	https://www.dbnl.org/auteurs/auteur.php?id=asse018	asse018
J. Marx	https://www.dbnl.org/auteurs/auteur.php?id=marx001	marx001
Bernard Gewin	https://www.dbnl.org/auteurs/auteur.php?id=gewi001	gewi001
C.G.S. Sandberg	https://www.dbnl.org/auteurs/auteur.php?id=sand036	sand036
T.J. de Boer	https://www.dbnl.org/auteurs/auteur.php?id=boer057	boer057
Herman Robbers	https://www.dbnl.org/auteurs/auteur.php?id=robb002	robb002
C.A. Worp-Roland Holst	https://www.dbnl.org/auteurs/auteur.php?id=worp003	worp003
Arnoldus Wilhelmus Stellwagen	https://www.dbnl.org/auteurs/auteur.php?id=stel010	stel010
J.H. de Veer	https://www.dbnl.org/auteurs/auteur.php?id=veer020	veer020
G.H. van Waveren jr.	https://www.dbnl.org/auteurs/auteur.php?id=wave003	wave003
N. Mansvelt	https://www.dbnl.org/auteurs/auteur.php?id=mans005	mans005
J.C.G. Grasé	https://www.dbnl.org/auteurs/auteur.php?id=gras013	gras013
Guido Gezelle	https://www.dbnl.org/auteurs/auteur.php?id=geze002	geze002
H. van Hogendorp	https://www.dbnl.org/auteurs/auteur.php?id=hoge019	hoge019
Gijsbert Karel graaf van Hogendorp	https://www.dbnl.org/auteurs/auteur.php?id=hoge017	hoge017
Johannes Hasselman	https://www.dbnl.org/auteurs/auteur.php?id=hass014	hass014
Marie Metz-Koning	https://www.dbnl.org/auteurs/auteur.php?id=metz001	metz001
Gerard van Hulzen	https://www.dbnl.org/auteurs/auteur.php?id=hulz002	hulz002
H.R. Offerhaus	https://www.dbnl.org/auteurs/auteur.php?id=offe006	offe006
J.E. Jasper	https://www.dbnl.org/auteurs/auteur.php?id=jasp004	jasp004
J.J.G. Vürtheim	https://www.dbnl.org/auteurs/auteur.php?id=vurt001	vurt001
Richard de Cneudt	https://www.dbnl.org/auteurs/auteur.php?id=cneu001	cneu001
E. van Hille	https://www.dbnl.org/auteurs/auteur.php?id=hill037	hill037
J.P. van Rossum	https://www.dbnl.org/auteurs/auteur.php?id=ross052	ross052
C.K. Elout	https://www.dbnl.org/auteurs/auteur.php?id=elou012	elou012
J. Mar. Ruys	https://www.dbnl.org/auteurs/auteur.php?id=ruys052	ruys052
Maurice Wilmotte	https://www.dbnl.org/auteurs/auteur.php?id=wilm012	wilm012
J.A. Simons-Mees	https://www.dbnl.org/auteurs/auteur.php?id=simo016	simo016
Antoon Derkinderen	https://www.dbnl.org/auteurs/auteur.php?id=kind009	kind009
P.J. van Löben Sels	https://www.dbnl.org/auteurs/auteur.php?id=lobe017	lobe017
A.W. Nieuwenhuis	https://www.dbnl.org/auteurs/auteur.php?id=nieu134	nieu134
I. Kooistra	https://www.dbnl.org/auteurs/auteur.php?id=kooi021	kooi021
G.P. Bakker	https://www.dbnl.org/auteurs/auteur.php?id=bakk007	bakk007
P. Leendertz (jr.)	https://www.dbnl.org/auteurs/auteur.php?id=leen006	leen006
B. Symons	https://www.dbnl.org/auteurs/auteur.php?id=symo009	symo009
Willem Lodewijk van Helten	https://www.dbnl.org/auteurs/auteur.php?id=helt001	helt001
Alfred Listal	https://www.dbnl.org/auteurs/auteur.php?id=list002	list002
Gideon Busken Huet	https://www.dbnl.org/auteurs/auteur.php?id=busk002	busk002
J.D. van der Waals	https://www.dbnl.org/auteurs/auteur.php?id=waal006	waal006
L.N. de Jong	https://www.dbnl.org/auteurs/auteur.php?id=jong219	jong219
K.C. Boxman-Winkler	https://www.dbnl.org/auteurs/auteur.php?id=boxm002	boxm002
Dan. Engelen	https://www.dbnl.org/auteurs/auteur.php?id=enge056	enge056
F.J.L. Rompel	https://www.dbnl.org/auteurs/auteur.php?id=romp005	romp005
H.G. van der Vies	https://www.dbnl.org/auteurs/auteur.php?id=vies002	vies002
T.J. Bezemer	https://www.dbnl.org/auteurs/auteur.php?id=beze006	beze006
Jacobus Boelen Jhz.	https://www.dbnl.org/auteurs/auteur.php?id=boel011	boel011
L.A.A. van Kervel	https://www.dbnl.org/auteurs/auteur.php?id=kerv004	kerv004
J. Everts	https://www.dbnl.org/auteurs/auteur.php?id=ever115	ever115
