Author	Link	identifier
N. van Wijk	https://www.dbnl.org/auteurs/auteur.php?id=wijk002	wijk002
Hendrik Wiegersma	https://www.dbnl.org/auteurs/auteur.php?id=wieg004	wieg004
Theun de Vries	https://www.dbnl.org/auteurs/auteur.php?id=vrie049	vrie049
H.E.H. van Loon	https://www.dbnl.org/auteurs/auteur.php?id=loon004	loon004
J.F.M. Sterck	https://www.dbnl.org/auteurs/auteur.php?id=ster002	ster002
J.C. Bloem	https://www.dbnl.org/auteurs/auteur.php?id=bloe001	bloe001
Vic Reinders	https://www.dbnl.org/auteurs/auteur.php?id=rein003	rein003
Jan H. Eekhout	https://www.dbnl.org/auteurs/auteur.php?id=eekh004	eekh004
Huub van der Grinten	https://www.dbnl.org/auteurs/auteur.php?id=grin002	grin002
F.J.H. Lousberg	https://www.dbnl.org/auteurs/auteur.php?id=lous001	lous001
Henri Borel	https://www.dbnl.org/auteurs/auteur.php?id=bore002	bore002
D.A.M. Binnendijk	https://www.dbnl.org/auteurs/auteur.php?id=binn004	binn004
A. Viruly	https://www.dbnl.org/auteurs/auteur.php?id=viru001	viru001
Jacques Schreurs	https://www.dbnl.org/auteurs/auteur.php?id=schr014	schr014
Gerrit Achterberg	https://www.dbnl.org/auteurs/auteur.php?id=acht003	acht003
J.J. van Geuns	https://www.dbnl.org/auteurs/auteur.php?id=geun001	geun001
Halbo C. Kool	https://www.dbnl.org/auteurs/auteur.php?id=kool003	kool003
Emile Erens	https://www.dbnl.org/auteurs/auteur.php?id=eren001	eren001
Maurits Mok	https://www.dbnl.org/auteurs/auteur.php?id=mok_002	mok_002
Gabriël Smit	https://www.dbnl.org/auteurs/auteur.php?id=smit006	smit006
Joris Ivens	https://www.dbnl.org/auteurs/auteur.php?id=iven003	iven003
Luc Tournier	https://www.dbnl.org/auteurs/auteur.php?id=tour003	tour003
Wilhelmus Nicolaï	https://www.dbnl.org/auteurs/auteur.php?id=nico018	nico018
Jan van Gelder	https://www.dbnl.org/auteurs/auteur.php?id=geld021	geld021
Chris de Graaff	https://www.dbnl.org/auteurs/auteur.php?id=graa015	graa015
Oscar Leyendekkers	https://www.dbnl.org/auteurs/auteur.php?id=leye001	leye001
A.J.D. van Oosten	https://www.dbnl.org/auteurs/auteur.php?id=oost003	oost003
L. Stolte	https://www.dbnl.org/auteurs/auteur.php?id=stol018	stol018
A.J.A. Etman	https://www.dbnl.org/auteurs/auteur.php?id=etma001	etma001
J.B. Stolte	https://www.dbnl.org/auteurs/auteur.php?id=stol019	stol019
N.G.H. Deen	https://www.dbnl.org/auteurs/auteur.php?id=deen005	deen005
W.P.J. Pompe	https://www.dbnl.org/auteurs/auteur.php?id=pomp001	pomp001
Frans Erens	https://www.dbnl.org/auteurs/auteur.php?id=eren003	eren003
Charles Eyck	https://www.dbnl.org/auteurs/auteur.php?id=eyck006	eyck006
Ad. Sassen	https://www.dbnl.org/auteurs/auteur.php?id=sass002	sass002
Lodewijk van Deyssel	https://www.dbnl.org/auteurs/auteur.php?id=deys001	deys001
Jan Thorn-Prikker	https://www.dbnl.org/auteurs/auteur.php?id=thor005	thor005
Alfons Olterdissen	https://www.dbnl.org/auteurs/auteur.php?id=olte001	olte001
G.D. Franquinet	https://www.dbnl.org/auteurs/auteur.php?id=fran023	fran023
E. Jaspar	https://www.dbnl.org/auteurs/auteur.php?id=jasp002	jasp002
Laurent Polis	https://www.dbnl.org/auteurs/auteur.php?id=poli001	poli001
G.H. Weustink	https://www.dbnl.org/auteurs/auteur.php?id=weus003	weus003
P. Hendrix	https://www.dbnl.org/auteurs/auteur.php?id=hend038	hend038
M. Revis	https://www.dbnl.org/auteurs/auteur.php?id=revi002	revi002
A. van Domburg	https://www.dbnl.org/auteurs/auteur.php?id=domb002	domb002
Jan H. de Groot	https://www.dbnl.org/auteurs/auteur.php?id=groo015	groo015
Frans van Oldenburg Ermke	https://www.dbnl.org/auteurs/auteur.php?id=olde002	olde002
Giovanni Papini	https://www.dbnl.org/auteurs/auteur.php?id=papi001	papi001
Ellen Russe	https://www.dbnl.org/auteurs/auteur.php?id=russ001	russ001
Sigmund Freud	https://www.dbnl.org/auteurs/auteur.php?id=freu001	freu001
Martin Bruijns	https://www.dbnl.org/auteurs/auteur.php?id=bruy019	bruy019
Eric van der Steen	https://www.dbnl.org/auteurs/auteur.php?id=stee008	stee008
Leo van Breen	https://www.dbnl.org/auteurs/auteur.php?id=bree009	bree009
Herman Oosterwijk	https://www.dbnl.org/auteurs/auteur.php?id=oost025	oost025
Martinus Nijhoff	https://www.dbnl.org/auteurs/auteur.php?id=nijh004	nijh004
Louis de Bourbon	https://www.dbnl.org/auteurs/auteur.php?id=bour001	bour001
Berend Kuitert Cz	https://www.dbnl.org/auteurs/auteur.php?id=kuit004	kuit004
A.C. Ramselaar	https://www.dbnl.org/auteurs/auteur.php?id=rams002	rams002
Koos van Doorne	https://www.dbnl.org/auteurs/auteur.php?id=door016	door016
Alphons Diepenbrock	https://www.dbnl.org/auteurs/auteur.php?id=diep001	diep001
August van Cauwelaert	https://www.dbnl.org/auteurs/auteur.php?id=cauw004	cauw004
Aug. Cuypers	https://www.dbnl.org/auteurs/auteur.php?id=cuyp007	cuyp007
Jan Derks	https://www.dbnl.org/auteurs/auteur.php?id=derk001	derk001
Stijn Streuvels	https://www.dbnl.org/auteurs/auteur.php?id=stre009	stre009
Paul Vlemminx	https://www.dbnl.org/auteurs/auteur.php?id=vlem001	vlem001
Franciscus De Smidt	https://www.dbnl.org/auteurs/auteur.php?id=smid009	smid009
G.J. Peelen	https://www.dbnl.org/auteurs/auteur.php?id=peel002	peel002
Heleen Hoekstra	https://www.dbnl.org/auteurs/auteur.php?id=hoek036	hoek036
A.P.Th. Sassen	https://www.dbnl.org/auteurs/auteur.php?id=sass009	sass009
Jos. van Schaveren	https://www.dbnl.org/auteurs/auteur.php?id=scha079	scha079
Jop Pollmann	https://www.dbnl.org/auteurs/auteur.php?id=poll006	poll006
E.Th.J. Brom	https://www.dbnl.org/auteurs/auteur.php?id=brom001	brom001
G. Vrijmoed	https://www.dbnl.org/auteurs/auteur.php?id=vrij009	vrij009
Willem Brandt	https://www.dbnl.org/auteurs/auteur.php?id=bran027	bran027
E.H.M. Beekman	https://www.dbnl.org/auteurs/auteur.php?id=beek023	beek023
H. van Rooijen	https://www.dbnl.org/auteurs/auteur.php?id=rooi010	rooi010
C.R. de Klerk	https://www.dbnl.org/auteurs/auteur.php?id=kler001	kler001
H.M. van Randwijk	https://www.dbnl.org/auteurs/auteur.php?id=rand002	rand002
Carole Vos	https://www.dbnl.org/auteurs/auteur.php?id=vos_006	vos_006
Antoon Coolen	https://www.dbnl.org/auteurs/auteur.php?id=cool004	cool004
J.H. Newman	https://www.dbnl.org/auteurs/auteur.php?id=newm001	newm001
Hendrik de Vries	https://www.dbnl.org/auteurs/auteur.php?id=vrie024	vrie024
Gaston Burssens	https://www.dbnl.org/auteurs/auteur.php?id=burs002	burs002
Paul Claudel	https://www.dbnl.org/auteurs/auteur.php?id=clau002	clau002
Michiel de Swaen	https://www.dbnl.org/auteurs/auteur.php?id=swae001	swae001
Wouter Paap	https://www.dbnl.org/auteurs/auteur.php?id=paap003	paap003
David de Kok	https://www.dbnl.org/auteurs/auteur.php?id=kok_021	kok_021
J.A.A. Mekel	https://www.dbnl.org/auteurs/auteur.php?id=meke002	meke002
Felix Rutten	https://www.dbnl.org/auteurs/auteur.php?id=rutt004	rutt004
Freek van Leeuwen	https://www.dbnl.org/auteurs/auteur.php?id=leeu017	leeu017
Herluf van Merlet	https://www.dbnl.org/auteurs/auteur.php?id=merl001	merl001
L.S.J. Hanekroot	https://www.dbnl.org/auteurs/auteur.php?id=hane004	hane004
Kees Klap	https://www.dbnl.org/auteurs/auteur.php?id=klap001	klap001
C.C. Berg	https://www.dbnl.org/auteurs/auteur.php?id=berg309	berg309
Jan Vercammen	https://www.dbnl.org/auteurs/auteur.php?id=verc002	verc002
Jan Gin	https://www.dbnl.org/auteurs/auteur.php?id=gin_001	gin_001
F. Bordewijk	https://www.dbnl.org/auteurs/auteur.php?id=bord001	bord001
Johan Brouwer	https://www.dbnl.org/auteurs/auteur.php?id=brou016	brou016
Charles Nypels	https://www.dbnl.org/auteurs/auteur.php?id=nype001	nype001
Marie Gijsen	https://www.dbnl.org/auteurs/auteur.php?id=gijs005	gijs005
Luc van Hoek	https://www.dbnl.org/auteurs/auteur.php?id=hoek006	hoek006
Willem Nolet	https://www.dbnl.org/auteurs/auteur.php?id=nole009	nole009
A.G.W. Severijnen	https://www.dbnl.org/auteurs/auteur.php?id=seve022	seve022
G.W. van der Does	https://www.dbnl.org/auteurs/auteur.php?id=does017	does017
Clara Eggink	https://www.dbnl.org/auteurs/auteur.php?id=eggi001	eggi001
C.P.M. Romme	https://www.dbnl.org/auteurs/auteur.php?id=romm002	romm002
J.W.F. Werumeus Buning	https://www.dbnl.org/auteurs/auteur.php?id=weru002	weru002
Hubert Cuypers jr.	https://www.dbnl.org/auteurs/auteur.php?id=cuyp043	cuyp043
Jac. van Hattum	https://www.dbnl.org/auteurs/auteur.php?id=hatt004	hatt004
Renaat de Vos	https://www.dbnl.org/auteurs/auteur.php?id=vos_029	vos_029
F.Ph.A. Tellegen	https://www.dbnl.org/auteurs/auteur.php?id=tell002	tell002
W.H. Beuken	https://www.dbnl.org/auteurs/auteur.php?id=beuk002	beuk002
Dick Ouwendijk	https://www.dbnl.org/auteurs/auteur.php?id=ouwe002	ouwe002
