identifier	birthCountry_json	deathCountry_json
banc001	Indonesië	Duitsland
band003	Brazilië	Brazilië
banh002	Groot-Brittannië (en Noord-Ierland)	Groot-Brittannië (en Noord-Ierland)
bank003	Nederland	
bank007	Nederland	
bann002	Nederland	Nederland
barb007		
barb031	Nederland	
bare001	Nederland	
bare002		
bare008	Nederland	
bare024	Nederland	Nederland
bare036		
barg002	Indonesië	Nederland
bark011	Groot-Brittannië (en Noord-Ierland)	Groot-Brittannië (en Noord-Ierland)
barn001	Nederland	
barn005	Nederland	Verenigde Staten
barn022		
barr012	Groot-Brittannië (en Noord-Ierland)	Italië
bart007		
bart008	Noorwegen	Nederland
bart011	Nederland	Nederland
bart012	België (Wallonië)	België (Wallonië)
bart019	Nederland	Nederland
bart020		
bart023		
bart045		
basa001	Nederland	Nederland
bash001	Japan	Japan
bass032		
bast001	België (Wallonië)	
bast002	Nederland	Nederland
bast003	Nederland	Nederland
bas_016	Nederland	Nederland
batt001		
baud005	België (Wallonië)	Italië
baud006	Nederland	Nederland
baud010	Nederland	Nederland
baud026	Frankrijk	Frankrijk
baud028		
baud033		
baud039		
baue007	Duitsland	Nederland
baue020		
baum003	België (Wallonië)	Nederland
baum004	België (Wallonië)	Nederland
baur001	België (Wallonië)	België (Wallonië)
bauw015		
baxt001		
bax_001	Nederland	Nederland
bax_003		
bax_005	Nederland	Zuid-Afrika
bax_011		
bazu001		
beau004	Nederland	Nederland
beau005	Caribisch deel van het Nederlandse Koninkrijk	Aruba
beau011	Nederland	Duitsland
beau015		
beau016	Nederland	
beau034	Nederland	Nederland
beau035	Nederland	Nederland
beau040	Frankrijk	
beav001		
beck005	Rusland	Nederland
beck009		
beck030	Nederland	Nederland
beck068	Duitsland	Verenigde Staten
beda001		
beec001	België (Wallonië)	
beec004	Nederland	Nederland
beek001	Nederland	Nederland
beek007	Nederland	Verenigde Staten
beek008		
beek009	Duitsland	
beek019	Nederland	Nederland
beek020		
beek023	Nederland	Nederland
beek024		
beek064		
beek099		
beel004	Nederland	Nederland
beel011	Nederland	Nederland
beel021	Nederland	Nederland
been001	Nederland	Nederland
been019	Nederland	Nederland
beer004	Nederland	Nederland
beer008	België (Wallonië)	België (Wallonië)
beer009	Nederland	
beer024	Nederland	Nederland
beet002	Nederland	Nederland
beet005	Nederland	Nederland
beet011	Nederland	Nederland
bege008		
behe001	België (Wallonië)	
beij009		
beij038	Nederland	
bein008		
beir003		
bejc001		
beka001		
beka003	België (Wallonië)	België (Wallonië)
beka007		
beki003		
bekk004	Nederland	
bekk008	België (Wallonië)	
beld002	België (Wallonië)	België (Wallonië)
beli005	Nederland	Nederland
beli018		
belj001	Nederland	Nederland
bell006	Nederland	Nederland
bell008	België (Wallonië)	Frankrijk
