identifier	birthCountry_json	deathCountry_json
dumo021		
dumo022		
dumo030		
dung004		
dunk001	Duitsland	Nederland
dunk005	Nederland	
dunn001		
dunn004	Nederland	Nederland
dupo004	Nederland	Nederland
dupu002		
duqu001		Nederland
dura006		
dura010		
dure003		
duri001	België (Wallonië)	België (Wallonië)
durl001	Duitsland	Nederland
durn001	België (Wallonië)	België (Wallonië)
duss004	Nederland	Nederland
duyf002		
duyk001	België (Wallonië)	België (Wallonië)
duyl001	Nederland	Nederland
duyl002	Nederland	Nederland
duyl003	Nederland	Nederland
duyn002	Nederland	
duyn003	Duitsland	
duyn039		
duyt001	België (Wallonië)	
duyv002	Nederland	Nederland
duyv003		
duyv013	Nederland	
duyx001		
du_p001	Indonesië	Nederland
dyck003		
dykm001		
dyse002	Nederland	Nederland
dyse006	België (Wallonië)	België (Wallonië)
ebbi005	Nederland	
ebbi006		
ebel008		
ecke001	Nederland	Nederland
eck_004	Nederland	Nederland
eck_005		
eck_009		
eck_027		
eck_032	Nederland	
eco_001	Italië	Italië
edel012	Zwitserland	
eder002	Duitsland	
ede_001	Nederland	
edin002	Nederland	Nederland
edmo003		
eeck001	België (Wallonië)	België (Wallonië)
eeck002	België (Wallonië)	België (Wallonië)
eeck003	België (Wallonië)	
eeck017		
eede003	Nederland	Nederland
eegh002	België (Wallonië)	België (Wallonië)
eegh003	Nederland	
eegh004	Nederland	Nederland
eegh007	Nederland	Nederland
eekh001	België (Wallonië)	
eekh002	Nederland	Nederland
eekh003	België (Wallonië)	België (Wallonië)
eekh004	Nederland	Nederland
eekh005	Nederland	Nederland
eekm001	Nederland	Nederland
eeme001	Nederland	
eeme002		
eenh001		
eerd003	Nederland	Nederland
eerd004	Nederland	Nederland
eere002	Nederland	Frankrijk
eere009	Nederland	Nederland
eerz001	Nederland	Nederland
eete001		
eet_001		
egbe010	Nederland	
egel001	Nederland	Nederland
eger003	Nederland	Nederland
eget001	Indonesië	
egge005	Nederland	
egge018		
eggi001	Nederland	Nederland
eggi002		
ehre001	Oekraïne	Rusland
eich007	Duitsland	Oostenrijk
eick006		
eige001	Nederland	Nederland
eige004		
eige005		
eijf001		
eijg001		
eijk005	Nederland	Nederland
eijk008		
eijk011		
eijk017		
eijk018		
eijk028		
eijk033	Nederland	Nederland
eijs001	Nederland	Nederland
eilb004		
ekel005		
ekke001	Nederland	Nederland
ekke003	Nederland	Nederland
ekke005		
elau001	België (Wallonië)	België (Wallonië)
elbe001	Nederland	Nederland
elbu001	Nederland	Nederland
elde001		
elde004		
elde005	Nederland	
elde006	Nederland	Nederland
elde015		
eleb001	België (Wallonië)	België (Wallonië)
elem002		
elem003	Nederland	
elem004	Nederland	Nederland
elen003		
elff001		
elff004	Nederland	Nederland
elia001	Nederland	Nederland
elia002	België (Wallonië)	België (Wallonië)
elia006	Nederland	Noorwegen
elia032	Polen	Nederland
elig001	Nederland	Nederland
elin004	Nederland	Nederland
elin009		
elio001	Groot-Brittannië (en Noord-Ierland)	Groot-Brittannië (en Noord-Ierland)
elio002	Verenigde Staten	Groot-Brittannië (en Noord-Ierland)
elle004		
elle013	Indonesië	
elle019		
elli001		
elli002	Nederland	Nederland
elmb001		
elou003	Nederland	Indonesië
elou012	Nederland	Nederland
elsa003	Duitsland	
else032		
elsh001	Nederland	
elsi002		
elsk004	Nederland	Nederland
elsl001	Nederland	Nederland
elsl002	België (Wallonië)	België (Wallonië)
elsm003		
elss001	België (Wallonië)	België (Wallonië)
elst006	België (Wallonië)	België (Wallonië)
elst007	Nederland	Nederland
elst009		
elst017		
els_001	Nederland	Nederland
elze006	Nederland	Nederland
elzi002		
elzi005		
eman001	Nederland	Zwitserland
eman002	Suriname	Suriname
emde004	Nederland	Nederland
emde008	Tsjechië	Nederland
emei001	Nederland	
emme002	Nederland	
emme004	Nederland	Nederland
emme020	Nederland	
ende003	Nederland	Nederland
endt001	Nederland	Nederland
enge004	België (Wallonië)	
enge012	Nederland	Nederland
enge027	Nederland	Nederland
enge037		
enge039		
enge041		
enge042	Nederland	
enge043	Duitsland	Duitsland
enge044		
enge056	Nederland	Nederland
enge090		
enge098		
enge105		
enge138	Nederland	Nederland
enge145		
eng_001		
enkl001	Nederland	Nederland
enkl004	Nederland	Nederland
enkl006	Nederland	Nederland
enkl009	Nederland	
enk_001	Nederland	Nederland
enqu001	Nederland	
ensc001	Nederland	Nederland
ensc012	Nederland	
enth002	Nederland	Verenigde Staten
entj001	Duitsland	Nederland
ent_001	Nederland	
ent_003		
enze001	Duitsland	Duitsland
enzi001	Nederland	Nederland
epen006		
epic001	Turkije	
eras001	Nederland	Zwitserland
erem004		
eren001	Nederland	Nederland
eren003	Nederland	Nederland
erin002		
erke011	Nederland	
erne001	Nederland	
erne004		
esch005	Nederland	Nederland
esch014	Nederland	Nederland
esme001		
esqu001	Mexico	
esse011		
esse030		
esse037	Nederland	Nederland
este001	Nederland	
esve002		
es__001	Nederland	Nederland
es__005	Nederland	Nederland
es__016		
etma001	Nederland	
etty001	Nederland	
etty002		
ett_001	Nederland	Nederland
evel001		
even001	België (Wallonië)	België (Wallonië)
even007	België (Wallonië)	
even010		
ever004		
ever012	Nederland	
ever026		
ever027		
ever028	Nederland	Nederland
ever111	Nederland	
ever114		
ever115	Nederland	Nederland
ever127	Aruba	Aruba
ever128		
ever138		
ever147		
eweg001		
extr001		
eybe001	Zuid-Afrika	Nederland
eyck001	Nederland	Nederland
eyck006	Nederland	Nederland
eyck034	België (Wallonië)	België (Wallonië)
eyck036		
eyke004		
eykm002	Nederland	Nederland
eyk_002	Nederland	Nederland
eyk_012	Nederland	Nederland
eyle004		
eyma001	Nederland	
eynd007		
eynd022		
eynd031		
eysi001	Nederland	Nederland
eysi002		Nederland
eysk001	België (Wallonië)	
eysk002	België (Wallonië)	België (Wallonië)
eyss002	Nederland	Nederland
eyss003	Nederland	Nederland
faas004	Nederland	
faas005	Nederland	Nederland
fabe001	Nederland	
fabe010		
fabe011		
fabi001	Nederland	Nederland
fabr001		
fabr004	Nederland	Groot-Brittannië (en Noord-Ierland)
fabr005	Indonesië	Nederland
fabr046	Spanje	Italië
fadd001	Nederland	Nederland
faes001		
fage003		
falc001	Nederland	België (Wallonië)
fall004		
fare002		
farn002	Nederland	Nederland
fass001	Indonesië	Nederland
faul001	Verenigde Staten	Verenigde Staten
fave001	Suriname	Nederland
febe001	Nederland	Nederland
febe002	Nederland	Nederland
febr001	Nederland	
fedo001		
feen004	België (Wallonië)	Nederland
feen005		
feen006	Indonesië	Nederland
fehm001	Nederland	Nederland
fehr001	Nederland	Nederland
feit006	Nederland	Nederland
feit008	Nederland	Nederland
feit013	Nederland	Nederland
feit015	Nederland	Nederland
feit026	Nederland	Nederland
fekk001	Nederland	
feld005		
felt008		
felt009		
fenn009	Nederland	Nederland
fens001	Nederland	Nederland
fens002	Zuid-Afrika	
ferd002	Nederland	Nederland
ferg003	Nederland	Vietnam
fern010		
ferr003	Nederland	Nederland
ferr022	Italië	
ferw005	Nederland	Nederland
fesk001		
fett001	Nederland	Nederland
feui002	Indonesië	Nederland
feyf001		
feys006		
fier010		
fijn002	Nederland	
fill002	België (Wallonië)	België (Wallonië)
fimm001		
find001	Noorwegen	Italië
finj001	Nederland	Indonesië
fior001	Nederland	Italië
fisc004	Nederland	
fisc006	Nederland	Nederland
fisc016		
flam005	België (Wallonië)	België (Wallonië)
flam011		
flan001	België (Wallonië)	
flax001		
flee001		België (Wallonië)
fleu001		
flin009		
flip004	Nederland	
flor007	België (Wallonië)	
flot001	Nederland	Nederland
flot003		
fock001	Nederland	Nederland
fock004	Nederland	Nederland
fock012	Nederland	Nederland
fock033	Nederland	Nederland
fock034	Nederland	Nederland
fock036	Nederland	Nederland
foga001	Italië	Italië
fokk004		
fokk005	Nederland	Nederland
fokk007	Nederland	Nederland
fokk008	Nederland	Nederland
fokk015	Indonesië	Nederland
fokk016	Indonesië	Italië
fokk017		
fokk018	Indonesië	
fokk037		
folk010		
fonc001	België (Wallonië)	België (Wallonië)
fond002	Nederland	Nederland
font006	Nederland	Nederland
font014	Nederland	Nederland
font045	Nederland	Nederland
font053	Argentinië	Italië
fool001		
foor006		
fopp002	Nederland	Nederland
fopp004	Nederland	
forb003	Nederland	Nederland
ford007	Verenigde Staten	Verenigde Staten
form001		Nederland
fors003	Groot-Brittannië (en Noord-Ierland)	Groot-Brittannië (en Noord-Ierland)
fors012		
fort020		
frae005		
frai004		
fran006		
fran007	België (Wallonië)	België (Wallonië)
fran008		
fran016	Nederland	Nederland
fran023	Nederland	Nederland
fran024	Nederland	Nederland
fran029	Nederland	Nederland
fran036	België (Wallonië)	België (Wallonië)
fran038	Nederland	Nederland
fran046		
fran047	Nederland	Nederland
fran048	Nederland	Nederland
fran056		
fran137		
fran139	Nederland	Groot-Brittannië (en Noord-Ierland)
fran143		
fran150		
fran169		
fran176		
fran198		
fran203		
fran225		
fran230		
fran236		
fred002	België (Wallonië)	België (Wallonië)
fred006	Nederland	Nederland
free003	Nederland	Nederland
frem013		
fren005		
fren014		
fren017		
fren025		
frer001		
frer002	Indonesië	
fres001	Nederland	
fres002	Duitsland	Nederland
fres008		
fret003	Nederland	Nederland
fret004		
freu001	Tsjechië	Groot-Brittannië (en Noord-Ierland)
freu002	Duitsland	Nederland
frie004	Nederland	Nederland
frie009		
frij004	Nederland	Nederland
frij005	Nederland	Nederland
frij006		
frij010	Nederland	Polen
frij012	Nederland	
fris002	Nederland	Nederland
fris018		
frit018		
froe001	Nederland	Nederland
froe002	Nederland	Nederland
from003	Nederland	Indonesië
frui001	Nederland	Nederland
fuch003	Nederland	
fuch008		
fukk002		
fuld001		
fumi001		
funk005	Nederland	Nederland
furn003	Nederland	
furs001		
gaag002	Nederland	Nederland
gaar001	Nederland	
gaay001		
gabr010		
gad_001		
gaef001	Duitsland	Verenigde Staten
gaja001	Suriname	
gala014	Rusland	Rusland
gala015	Syrië	Duitsland
gald002		
gale001		
gali003	Italië	Italië
galj001	Italië	
gall003	Nederland	Nederland
gall005		
gall006	België (Wallonië)	België (Wallonië)
gall008	Nederland	Nederland
gall036		
gang001	Suriname	
gans001	Nederland	Nederland
gans015	België (Wallonië)	België (Wallonië)
gant001	Frankrijk	Frankrijk
garc001		
garc005	Frankrijk	Frankrijk
garc006	Spanje	
garc011	Frankrijk	
gard014	Nederland	
gard015		
garm002		
garm004		
gars004		
gars005	Spanje	
gasp001	België (Wallonië)	
gasp002	België (Wallonië)	Nederland
gave001	België (Wallonië)	België (Wallonië)
geel001	Nederland	
geel002	Nederland	Nederland
geel003	Nederland	Nederland
geel005	Nederland	
geem001		
geer004	België (Wallonië)	
geer005	België (Wallonië)	België (Wallonië)
geer006	Nederland	Nederland
geer007		
geer013	Nederland	Nederland
geer016	België (Wallonië)	
geer023		
geer025	Nederland	Nederland
geer034	Nederland	Duitsland
geer041	Nederland	Nederland
geer043		Japan
geer071		
geer099		
geer107		
geer118		
gees003	België (Wallonië)	
gees006	Nederland	
gees020		
gees021		
geff006		
geir002		
geld001		
geld002	Nederland	
geld003	Nederland	Nederland
geld004	Nederland	Nederland
geld007	Nederland	Nederland
geld008	Nederland	
geld016	Nederland	Nederland
geld021		
geld022	Nederland	Nederland
geld025		
geld026		
geld028		
geld030		
geld066		
geld072	Nederland	Nederland
gele003		
gele012		
gelu001		
geme003		
gend001	Indonesië	Nederland
gene001	België (Wallonië)	Nederland
gene002	Nederland	Nederland
gene004	België (Wallonië)	
geni004		
gent005	Nederland	
gent016		
geor002		
gera001		
gera022		
gera025		
gera038		
gerb001	Nederland	Italië
gerb003	Nederland	
gerb005	Zuid-Afrika	Nederland
gerd011		
gerd014		
gerh002	Nederland	Nederland
gerh004	Nederland	Nederland
geri001	Nederland	Nederland
geri004	België (Wallonië)	België (Wallonië)
gerl001	Nederland	
gerl002	Nederland	België (Wallonië)
gerl003	Nederland	Duitsland
gerl020		
germ003	België (Wallonië)	België (Wallonië)
gern003	Duitsland	
gerr007		
gerr009	Nederland	Nederland
gerr010	Nederland	
gerr015	Nederland	Nederland
gerr016	Nederland	
gerr018		
gerr025		Nederland
gerr037		
gerr051		
gerr079		
gers003	Duitsland	Nederland
gerv003	Nederland	Nederland
gesc001	Nederland	
gesp002		
gess001	België (Wallonië)	België (Wallonië)
gest002		
gest006	Nederland	Nederland
geuf001		
geun001	Nederland	Nederland
geun003	Nederland	
geun004	Nederland	Nederland
geun007	Nederland	Nederland
geur002		
geur004	Nederland	Nederland
geur006		
geur012		
geus001	Nederland	
geus013		
gewi001	Nederland	Nederland
gewi003	Nederland	Nederland
geyl001	Nederland	Nederland
geyl002		
geys004		
geyt001	België (Wallonië)	België (Wallonië)
geyt003		
geze001	België (Wallonië)	België (Wallonië)
geze002	België (Wallonië)	België (Wallonië)
ghee005		
ghel002	België (Wallonië)	België (Wallonië)
ghes002	België (Wallonië)	België (Wallonië)
ghes010		
ghij001	Nederland	Nederland
ghij008		
ghij011		
ghys005	België (Wallonië)	
ghys008		
gibs002	Ierland	
giel002	Nederland	
giel011		
gier001	Nederland	
gies001	Nederland	Nederland
gies003		
giez002	Nederland	
gijs002		
gijs003		
gijs004	Nederland	Nederland
gijs005	Nederland	Nederland
gijs006	België (Wallonië)	België (Wallonië)
gijs007		
gijs008	België (Wallonië)	België (Wallonië)
gijs009		
gilb001	Nederland	
gilb009	Verenigde Staten	Verenigde Staten
gild005	Nederland	Nederland
gilf001	Zuid-Afrika	
gilg001		
gili001		
gili003		
gill002		
gill003	België (Wallonië)	België (Wallonië)
gill010	België (Wallonië)	
gill012		
gill041	België (Wallonië)	
gill044		
gill052	België (Wallonië)	
gilr001		
gils003	België (Wallonië)	België (Wallonië)
gils004	Duitsland	Nederland
gils005	Nederland	Nederland
gils007	Nederland	Nederland
ginn001	Nederland	Nederland
ginn004		
ginn005	Nederland	
ginz001	Italië	
gin_001	Nederland	Nederland
gise001	België (Wallonië)	
gitt002	België (Wallonië)	
giul002	Italië	Italië
glas005		
glas006		
glas011	Indonesië	Nederland
glas016		
glaz005		
glei001	Nederland	Nederland
glei003		
glot002		
gobb001	België (Wallonië)	
gobe002	Nederland	Indonesië
gobe005	Nederland	Nederland
gobe011		
gobl001	Nederland	België (Wallonië)
gobl003	België (Wallonië)	
gode003	België (Wallonië)	België (Wallonië)
gode006	Nederland	Nederland
goed003		
goed004	Nederland	
goed005	Nederland	Nederland
goed011		
goed036		
goed041		
goed044		
goej002	Nederland	Nederland
goej003		
goem001		
goem002	België (Wallonië)	
goen002	Nederland	Duitsland
goes001	Nederland	Nederland
goes005		
goet007		
goet027	Duitsland	Duitsland
goet028		
goet030		
goet034		
goet042	België (Wallonië)	België (Wallonië)
goet046		
goet047		
goev001	Nederland	Nederland
goev002		
goff006		
goff014		
gogh002	Nederland	Nederland
gold002	Nederland	
gold019	Italië	Frankrijk
goll006	Frankrijk	Frankrijk
golt001	Nederland	Nederland
golt003	Nederland	Nederland
golt004	Duitsland	Nederland
gomm002	Nederland	
gomm005		
gomp002	Nederland	Frankrijk
gomp005		
gond002		
gong002		
good005	Verenigde Staten	
gool003	België (Wallonië)	
goor005		
goos003	België (Wallonië)	
goos006	België (Wallonië)	
goos010	Nederland	Nederland
goos014		
gori001		
gori003	Nederland	Nederland
gori019		
gori020		
gori027		
gork001	Nederland	Nederland
gork005		
gork009	Rusland	Rusland
goro002	Mexico	
gorp001	België (Wallonië)	
gorp002		
gorp004	Nederland	Nederland
gors004	België (Wallonië)	
gort004	Nederland	België (Wallonië)
gort005	Nederland	
gort006	Nederland	Nederland
gort016	Nederland	
gort024	Nederland	Nederland
gosl001	Nederland	Nederland
gosl003	Nederland	
goss001	Nederland	Nederland
goss003	Nederland	Nederland
goss004	Nederland	Nederland
goud003	België (Wallonië)	
goud004	Nederland	Nederland
goud005	Nederland	
goud010	Nederland	Nederland
goud012	Suriname	
goud013		
goud026		
goud054		
goud066		
goul002	Verenigde Staten	Spanje
gova001	Nederland	Nederland
gova003		
gova005	België (Wallonië)	
gova006		
gova009		
gova013		
gove001		
govo001		
goyv001		
graa001	Nederland	
graa003	Nederland	
graa004	Nederland	
graa005		
graa008		
graa010	Nederland	Nederland
graa015	Nederland	Nederland
graa025	Nederland	
graa028		
graa029		
graa030		
graa036		
graa048		
graa062		
graa076		
graa084	Nederland	Nederland
graa098		
graa122		
graa123		
graf001	Nederland	Nederland
graf002	Nederland	Nederland
graf010		
gram001	Nederland	Nederland
gram004	Nederland	Verenigde Staten
gram013	Denemarken	Denemarken
gran009		
gran022		
gran023		
gran030	Frankrijk	Frankrijk
gras004	Nederland	Nederland
gras005	Polen	Duitsland
gras009	Nederland	Nederland
gras011		
gras012		
gras013		
grat001	België (Wallonië)	Sri Lanka
grat003	Nederland	Nederland
grau002	België (Wallonië)	België (Wallonië)
grav004	Indonesië	Nederland
grav052		
grea002		
greg001	Nederland	Nederland
greg002	Nederland	Nederland
greg011	Verenigde Staten	Verenigde Staten
grei004		
grei009	Colombia	Colombia
gres002	Nederland	Zuid-Afrika
gres005		
grev001	Indonesië	Nederland
grev002		
grev010	Nederland	Nederland
grie005	België (Wallonië)	België (Wallonië)
grif002		
grif011		
grij001	Nederland	Nederland
grij003	België (Wallonië)	
grij006		
grij007		
grin002		
grin003		
grin013		
grit001		
griv001		
groe017	Nederland	Nederland
groe018	Nederland	Nederland
groe023	Nederland	
groe026		
groe035	Nederland	
groe046		
groe048		
groe055		
groe064		
groe104	Nederland	Nederland
groe114		
groe116		
groe133		
groe157		
groe192		
groe205		
grol002	Nederland	Nederland
grol009		
grom004		
gron009	Nederland	Nederland
gron014	Indonesië	Nederland
groo001	Nederland	Denemarken
groo004	Nederland	Nederland
groo006	Nederland	Nederland
groo012		
groo014	Nederland	
groo015	Nederland	Nederland
groo018	Nederland	
groo024	Nederland	België (Wallonië)
groo027	Nederland	
groo028	Nederland	Nederland
groo030	Nederland	Nederland
groo037		Nederland
groo043	Nederland	Nederland
groo044		
groo045		
groo051	Nederland	Nederland
groo057	Nederland	
groo063		
groo066		
groo070		
groo071		
groo072		
groo100	Nederland	
groo103		
groo135		
groo153		
groo158	Nederland	
groo170		
groo185		
groo187		
groo212		
groo213		
gros005	Nederland	Nederland
gros010		
gros025	Duitsland	Duitsland
grov001	Zuid-Afrika	
grov021		
grub004	Duitsland	Nederland
grui001		
grui002	Indonesië	Nederland
grun001	Nederland	
grun003		
grun010	Duitsland	
grut003		
gruw001	België (Wallonië)	
gruy003	Nederland	Nederland
gruy005	Nederland	
gryg001	Slowakije	
gryp002		
guch012		
guep001	Nederland	Nederland
guie001	België (Wallonië)	België (Wallonië)
guil005	Cuba	Cuba
guin005	Verenigde Staten	
gumb001		
guna001	Indonesië	
gunn002	Nederland	Nederland
gunn004	Nederland	Nederland
gunn005		
gunn010		
guns006		
guns008		
gupt001		
guss001		
guss002	Nederland	Nederland
gyse001	België (Wallonië)	België (Wallonië)
gyse004	België (Wallonië)	België (Wallonië)
gyss001	België (Wallonië)	België (Wallonië)
haaf002		
haag001		
haak003	Nederland	Nederland
haak009		
haak010		
haak020		
haak025		
haan004	Nederland	Nederland
haan005		
haan007	Nederland	
haan008	Nederland	Palestina
haan009	Nederland	Nederland
haan010	Indonesië	Nederland
haan013		
haan014	Nederland	
haan015		
haan018		
haan019		
haan022	Nederland	Nederland
haan027	Nederland	Nederland
haan028		
haan029	Nederland	Nederland
haan032		
haan039		
haan040		
haan064		
haan074		
haan100		
haar010		
haar014	Zuid-Afrika	Zuid-Afrika
haar045	Duitsland	
haar047	Nederland	Nederland
haas009	Nederland	
haas011		
haas013	Indonesië	Nederland
haas027	Nederland	Nederland
haas040	Nederland	Nederland
haas041		
haas042		
haas054		
haas055		
haas056		
habe003		
habe010		
habi001	Aruba	
habi002		
hacc002		
hack013	Rusland	Nederland
hade001	België (Wallonië)	
hade004	Verenigde Staten	
haec011	België (Wallonië)	België (Wallonië)
haeg003		
haer001	Nederland	Nederland
haer003	Nederland	Nederland
haer004	België (Wallonië)	
haer008		
haer060		
haer064	Nederland	Nederland
haes003	België (Wallonië)	België (Wallonië)
haes006	België (Wallonië)	
haes007	België (Wallonië)	België (Wallonië)
haes009	België (Wallonië)	België (Wallonië)
haes010		
haes016		
haes029		
haes046		
hafi001	Iran	
haft001	Verenigde Staten	
hage001		
hage009	Nederland	
hage019		
hage021		
hage082	Nederland	
hagh001		
hagt001		
hahm001	Finland	
hahn001		
haig002	Nederland	Nederland
haim001		Nederland
haje001		
hake001	Nederland	Nederland
hake002		
hakf001		
hakh001		
halb002	Nederland	Nederland
halb003	Nederland	Nederland
halb006	Nederland	België (Wallonië)
halb011	Nederland	Nederland
halb020		
half003		
hall002	Nederland	Nederland
hall005	België (Wallonië)	België (Wallonië)
hall007	België (Wallonië)	Spanje
hall008	België (Wallonië)	België (Wallonië)
hall013	Nederland	Nederland
hall016		
hall047		
hall048		
hals002		
hama002		
hama006		
hama008		
hamb002		
hamb006		
hamb008	Duitsland	Groot-Brittannië (en Noord-Ierland)
hame001	Nederland	Nederland
hame004	Nederland	
hame005	België (Wallonië)	België (Wallonië)
hame009	Nederland	Nederland
hame013	Nederland	Nederland
hame014	Nederland	Nederland
hamm003	België (Wallonië)	België (Wallonië)
hamm005	Denemarken	Denemarken
hamm006	Nederland	Italië
hamm012		
ham_002	Nederland	Nederland
ham_013		
ham_016		
hand001	Oostenrijk	
hane004		
hanl001	Indonesië	Nederland
hann001	België (Wallonië)	
hann008		
hann025		
hano001	Nederland	Nederland
hano002	België (Wallonië)	
hans012		
hans017	Nederland	
hans032		
hap_001		
harb002		
hard003		
hard018		
hard075		
hard076	België (Wallonië)	België (Wallonië)
hare001	Nederland	
harg003		
hari036		
harl007		
harm005	Nederland	
harm006		
harp007	Groot-Brittannië (en Noord-Ierland)	
hart004		
hart006	Nederland	
hart007		
hart008	Nederland	
hart011	Nederland	Nederland
hart012		
hart014	Nederland	
hart018	Nederland	Nederland
hart021	Nederland	
hart030		
hart040		
hart047	Nederland	Nederland
hart056		
hart059		
hart062		
hart064	Nederland	
hart067		
hart136		
hart151	Nederland	
hart163		
hart210		
hase002	Nederland	Nederland
hase004	Caribisch deel van het Nederlandse Koninkrijk	
hase020	Duitsland	Duitsland
hasl001	Nederland	
hasp001	Nederland	Nederland
hass001	Nederland	België (Wallonië)
hass007	Nederland	Nederland
hass014	Nederland	Nederland
hass017		
hass053		
hass054		
hatt004	Nederland	Nederland
hatt006		
hauw003		
have002	Nederland	Nederland
have007	Nederland	
have010	Nederland	Nederland
have018		
have019	Nederland	Nederland
have021	Nederland	
have048		
have052		
haze005	Nederland	Nederland
haze020		
hazi001		
hean001	Groot-Brittannië (en Noord-Ierland)	Ierland
heck001	België (Wallonië)	
heck002	België (Wallonië)	België (Wallonië)
heck006	Nederland	Nederland
heck013		
heec002	Nederland	Nederland
heed003	Nederland	
heek003		
heem010	Nederland	Nederland
heem011	Nederland	Nederland
heem020		
heem091		
heem092		
heer004	Zuid-Afrika	Zuid-Afrika
heer005		
heer010	Nederland	Nederland
heer014	Nederland	Nederland
heer017	Nederland	Nederland
heer023	Nederland	Nederland
heer026	Zuid-Afrika	
heer031	Nederland	
heer033	Indonesië	Nederland
heer034	Nederland	Nederland
heer040	Nederland	
heer044		
heer082	Nederland	Nederland
heer096		
heer112		
hees001		
hees002	Nederland	Nederland
hees005	Nederland	
hees011		
hees021		
hees024		
hees025		
hees033		
heet001	België (Wallonië)	België (Wallonië)
heev001	Zuid-Afrika	Zuid-Afrika
hee_003	België (Wallonië)	
heft001	Nederland	Nederland
hegm001	België (Wallonië)	België (Wallonië)
heid001		
heid004		
heid032		
heid036		
heid058		
heij001	Nederland	
heij005	Nederland	
heij007	Nederland	Nederland
heij011	Nederland	Nederland
heij023	Nederland	Nederland
heij024		
heij026		
heij027		
heij028		
heij040	Nederland	Nederland
heij051		
heij060		
heij063		
heil003		
heil010		
heim002	Nederland	Italië
hein007	Nederland	Nederland
hein015		
hein052	Nederland	Nederland
heir005	Nederland	Nederland
heir008		
hekm001	Nederland	Nederland
heks002		
held002	België (Wallonië)	België (Wallonië)
held004	Nederland	
held006	Nederland	Nederland
held007		
held029		
hell008	België (Wallonië)	
hell009	België (Wallonië)	België (Wallonië)
hell011	Zwitserland	
hell014	Nederland	Groot-Brittannië (en Noord-Ierland)
hell066		
helm003	Suriname	Nederland
helm005		
helm013		
hels014	Indonesië	Nederland
hels018		
helt001	Nederland	Nederland
heme003	België (Wallonië)	België (Wallonië)
heme014		
hemk004	Nederland	
hemm001	België (Wallonië)	
hemm002		
hend011	Nederland	Nederland
hend012	Nederland	Nederland
hend020		
hend034		
hend035		
hend036		
hend038	Nederland	Nederland
hend178		
heng007		
heng025		
heng026		
henk002		
henk003	Nederland	
henk013	Nederland	Nederland
henk014		
henk016		
henn001	Nederland	Nederland
henn003	Nederland	
henn009	Nederland	Nederland
henn045		
henr002	België (Wallonië)	
henr005	Nederland	Nederland
henr025		
henr028		
henr042	België (Wallonië)	
hens002	België (Wallonië)	België (Wallonië)
hens021		
hens022		
hens027		
hepp001		
herb001	Nederland	Nederland
herb029	België (Wallonië)	België (Wallonië)
herc003	België (Wallonië)	België (Wallonië)
herd004	Nederland	Nederland
herd005		
herd017		
here014	Cuba	Frankrijk
herk002		
herl010	Polen	Italië
herm005		
herm011	België (Wallonië)	
herm014	Nederland	Nederland
herm017	Nederland	Nederland
herm019		
herm022	Nederland	
herm026	België (Wallonië)	België (Wallonië)
herm028		
herm029		
herm030	Nederland	Nederland
herm110		
hern002	Uruguay	
hern004		
hern006	Spanje	Spanje
herp003	Nederland	Nederland
herp005		
herp013		
herr001	België (Wallonië)	
herr002	België (Wallonië)	België (Wallonië)
herr003	België (Wallonië)	België (Wallonië)
herr005		
herr026		
herr033	België (Wallonië)	
hert001	België (Wallonië)	
hert002	Nederland	Nederland
hert003	Nederland	Nederland
hert005	Nederland	Nederland
hert025		
hert028		
hert066		
herw002	Nederland	Nederland
herw003		
herw004		
herz001	Nederland	Nederland
herz002	Nederland	
hesm002		
hess002	Nederland	Nederland
hess073		
hete009		
hett001		
hett013		
heug001	Nederland	Nederland
heuk002		
heuk004	Nederland	Nederland
heul002	België (Wallonië)	
heum001	Nederland	
heus002		
heus014		
heuv011		
heuv013	België (Wallonië)	Nederland
heuv019		
heuv048		
heyd046		
heye011		
heye012		
heyl027	België (Wallonië)	België (Wallonië)
heym003	België (Wallonië)	België (Wallonië)
heym005		
heym023		
heym028		
heyn005		
heyn012	België (Wallonië)	België (Wallonië)
heyn045		
heyn060		
heyr003		
heys005	Nederland	Nederland
heys009		
heyt001		
heyt004	Nederland	Zwitserland
heyt005		
heyv002		
hey_002		
heze002		
hieg001	Nederland	Nederland
hijl002		
hijm002		
hijm006	Nederland	
hilb005	Duitsland	
hild012		
hilg005		
hili001	België (Wallonië)	
hill001	Nederland	Nederland
hill005	Nederland	Nederland
hill012		
hill013	Nederland	Nederland
hill014		
hill037		
hill057	Polen	Polen
hind001	België (Wallonië)	Nederland
hing002	Nederland	Nederland
hing005	Nederland	
hinr002		
hint001	Nederland	Nederland
hint003		
hirs001		
hirs004	Duitsland	Nederland
hirs012	Duitsland	
hirs013		
hiss001		
hiss003		
hobm001		
hobo001	Nederland	Nederland
hobs003		
hoeb001		
hoec005		
hoec025	België (Wallonië)	België (Wallonië)
hoec026		
hoef005	Nederland	Nederland
hoef007	Nederland	Nederland
hoek002	Nederland	Nederland
hoek005		
hoek006		
hoek007	Nederland	
hoek008		
hoek014		
hoek017	Nederland	Nederland
hoek020	Nederland	Nederland
hoek021		Verenigde Staten
hoek024	Nederland	Nederland
hoek028		
hoek033	Nederland	Nederland
hoek036		
hoek073		
hoek120		
hoen034		
hoen037		
hoes003	Nederland	Nederland
hoet004		
