pers_id;achternaam;voornaam;voorvoegsel;omschrijving
abbe002;Abbe;Simon Pieterszoon;;ambtenaar
abbe003;Abbekerk Crap;Joan;;politicus/staatsman/bestuurder
abbe004;Abbema;Andries Sijbrand;;ambtenaar
abbe005;Abbema;Balthasar Elias;;koopman/zakenman/indust.
abbe006;Abbema;Fred.;;herv./geref. predikant/leraar
abbe007;Abbema;Flor.;;herv./geref. predikant/leraar
abbe008;Abbema;Isaäc;;herv./geref. predikant/leraar
abbe009;Abbema;Jacob Carel;;militair/officier
abbe010;Abbema;IJdo;;politicus/staatsman/bestuurder
abbe011;Abbenbroek;Wilhelmus;;herv./geref. predikant/leraar
abbe014;Abbestee;Dirck Pietersz.;;natuurwetenschapper
abbe024;Abbenhuis;Maartje;;historicus/archeoloog
abbi001;Abbiati;Solange;;beeldend kunstenaar/illustrator/tekenaar
abbi002;Abbing;Cornelis Allard;;leraar/docent/hoogleraar
abbi005;Abbing;F.H.;;beeldend kunstenaar/illustrator/tekenaar
abbi005;Abbing;F.H.;;schilder
abbi009;Abbinga;H.P.;;rk-geestelijke/kloosterling
abbi010;Abbink;Jan;;leraar/docent/hoogleraar
abbr001;Abbring;Hermanus Johannes;;militair/officier
abbr002;Abbring;G.;;herv./geref. predikant/leraar
abbr003;Abbring;Johannes;;herv./geref. predikant/leraar
abbr004;Abbring;S.;;herv./geref. predikant/leraar
abbr005;Abbring;S.;;herv./geref. predikant/leraar
abco002;Abcoude;Dirk;van;rk-geestelijke/kloosterling
abco003;Abcoude;Hendrik;van;rk-geestelijke/kloosterling
abde001;Abdel-Qadir;Ghazi;;vertaler
abde001;Abdel-Qadir;Ghazi;;leraar/docent/hoogleraar
abdo004;Abdoellah;Chad;;beeldend kunstenaar/illustrator/tekenaar
abdu001;Abdullah;B.;;beeldend kunstenaar/illustrator/tekenaar
abe_001;Abe;Kōbō;;beeldend kunstenaar/illustrator/tekenaar
abee001;Abeele;Albijn;van den;politicus/staatsman/bestuurder
abee001;Abeele;Albijn;van den;beeldend kunstenaar/illustrator/tekenaar
abee002;Abeele;Carolus;van den;rk-geestelijke/kloosterling
abee002;Abeele;Carolus;van den;filosoof
abee003;Abeele;Werner;;leraar/docent/hoogleraar
abee004;Abeele;Achior;van den;doopsgezind predikant/leraar
abee005;Abeele;Diederik;van den;journalist/redacteur
abee008;Abeele;H.;Van den;ambtenaar
abee010;Abeel;E.;;rk-geestelijke/kloosterling
abee011;Abeele;Pieter;van;beeldend kunstenaar/illustrator/tekenaar
abee012;Abeele;Joh.;van den;rk-geestelijke/kloosterling
abee012;Abeele;Joh.;van den;advocaat/jurist
abee013;Abeele;Judocus;van den;rk-geestelijke/kloosterling
abee015;Abeele;H.;;leraar/docent/hoogleraar
abee017;Abeele;Andries;van den;koopman/zakenman/indust.
abee018;Abeele;François;van den;medicus/apotheker
abee020;Abeele;Maarten;van den;beeldend kunstenaar/illustrator/tekenaar
abel005;Abeleven;Theodorus;;vertaler
abel005;Abeleven;Theodorus;;leraar/docent/hoogleraar
abel007;Abeli;Johannes;;herv./geref. predikant/leraar
abel008;Abeli;Sibrandus;;herv./geref. predikant/leraar
abel009;Abeli;Sicco;;herv./geref. predikant/leraar
abel010;Abeli ab Equart;L.;;herv./geref. predikant/leraar
abel011;Abell;John;;musicus/minstreel/jongleur
abel013;Abels;Jacobus Theodorus;;schilder
abel014;Abels;Jan;;militair/officier
abel020;Abélard;Pierre;;filosoof
abel021;Abelsen;Peter;;vertaler
abel023;Abeling;André;;vertaler
aben005;Abendana;Im.;;joods geestelijke
aben006;Abendana;Is.;;vertaler
aben006;Abendana;Is.;;leraar/docent/hoogleraar
aben007;Abendana;Jac.;;vertaler
aben007;Abendana;Jac.;;joods geestelijke
