pers_id;achternaam;voornaam;voorvoegsel;omschrijving
cons014;Constanz;J.;van;rk-geestelijke/kloosterling
cons015;Constant-Rebecque;Samuel Baron;de;militair/officier
cons016;Constant-Rebecque;David Lodewijk Baron;de;militair/officier
cons017;Constant-Rebecque;Philippe Germain Baron;de;militair/officier
cons018;Constant-Rebecque;Justus Lodewijk Arnold Baron;de;militair/officier
cons019;Constant-Rebecque;François Marc Samuel Baron;de;militair/officier
cons020;Constant-Rebecque;Willem Anne Baron;de;militair/officier
cons021;Constant Rebecque;Theodore Guillaume Thierry Victor;de;militair/officier
cons022;Constant de Rebecque;Willem Baron;de;zeevarende
cons022;Constant de Rebecque;Willem Baron;de;militair/officier
cons024;Constanza;M.;;vertaler
cons024;Constanza;M.;;rk-geestelijke/kloosterling
cons025;Constandt;Luc;;architect/bouwmeester/bouwkundig ingenieur
cons026;Constandt;Marc;;leraar/docent/hoogleraar
cons029;Constant;Benjamin;;politicus/staatsman/bestuurder
cont006;Contamine;Philippe;;historicus/archeoloog
cont008;Content;Willem;;onderwijzer (basisschool)
cont008;Content;Willem;;politicus/staatsman/bestuurder
cont009;Conterno;Anna;;vertaler
cont015;Contreras;Yolanda;;beeldend kunstenaar/illustrator/tekenaar
conv002;Convenent;P.J.;;journalist/redacteur
conv003;Convent;Johan;van;militair/officier
conv003;Convent;Johan;van;zeevarende
conv004;Convent;L. Dz.;van;militair/officier
conv004;Convent;L. Dz.;van;zeevarende
coog001;Cooghen;Leendert;van der;schilder
coog001;Cooghen;Leendert;van der;schilder
cook002;Cooke;Sam;;musicus/minstreel/jongleur
cool001;Cools;Jacob;;koopman/zakenman/indust.
cool003;Coole;Marcel;;journalist/redacteur
cool004;Coolen;Antoon;;journalist/redacteur
cool005;Coolen (de Oudere);Antoon;;journalist/redacteur
cool008;Coolhaes;Caspar Jansz;;rk-geestelijke/kloosterling
cool008;Coolhaes;Caspar Jansz;;herv./geref. predikant/leraar
cool009;Cools;Achilles;;beeldend kunstenaar/illustrator/tekenaar
cool011;Coolsaet;Willy;;filosoof
cool013;Cool;Pieter;;doopsgezind predikant/leraar
cool014;Cool Pzn.;Gerrit;;herv./geref. predikant/leraar
cool017;Coolhaas;W.Ph.;;ambtenaar
cool017;Coolhaas;W.Ph.;;vertaler
cool017;Coolhaas;W.Ph.;;historicus/archeoloog
cool017;Coolhaas;W.Ph.;;leraar/docent/hoogleraar
cool019;Cool;August;;politicus/staatsman/bestuurder
cool020;Cool;E.;;rk-geestelijke/kloosterling
cool020;Cool;E.;;theoloog
cool021;Cool;Jacobus;;ambachtsman
cool021;Cool;Jacobus;;musicus/minstreel/jongleur
cool022;Cool;Th. S.;;schilder
cool023;Coolbrand;G.;;politicus/staatsman/bestuurder
cool024;Coolbrant;Martinus;;magistraat
cool025;Coolen;J. Lz.;;zeevarende
cool025;Coolen;J. Lz.;;politicus/staatsman/bestuurder
cool026;Coolen;M.;;rk-geestelijke/kloosterling
cool027;Coolhaes;Willem;;herv./geref. predikant/leraar
cool028;Coolhoven;D.W.;;arbeider/werkman
cool028;Coolhoven;D.W.;;schilder
cool029;Cools;A.;;rk-geestelijke/kloosterling
cool031;Cools;Joan.;;rk-geestelijke/kloosterling
cool032;Cools;Reginaldus;;theoloog
cool032;Cools;Reginaldus;;rk-geestelijke/kloosterling
cool033;Cools;W.;;rk-geestelijke/kloosterling
cool034;Coolsmet;H.;;rk-geestelijke/kloosterling
cool035;Cooltuyn;Cornelis;;rk-geestelijke/kloosterling
cool035;Cooltuyn;Cornelis;;onderwijzer (basisschool)
cool035;Cooltuyn;Cornelis;;herv./geref. predikant/leraar
cool036;Cool;Adriaan;;rk-geestelijke/kloosterling
cool039;Cools;Joannes;;advocaat/jurist
cool040;Coolen;T.M.T.;;leraar/docent/hoogleraar
cool040;Coolen;T.M.T.;;filosoof
cool043;Cool;Tine;;architect/bouwmeester/bouwkundig ingenieur
cool046;Cools;Hans;;historicus/archeoloog
cool047;Cools;Jan;;kunsthistoricus/kunsthandelaar
cool048;Cool;Anna;;zielsverzorger/psychol/ps.ther.
cool049;Cool;Anicetus;;rk-geestelijke/kloosterling
cool050;Coolhaas van der Woude;Schelto;;herv./geref. predikant/leraar
cool052;Coolen;William;;koopman/zakenman/indust.
cool053;Coolman;Joos Jozef;;arbeider/werkman
cool054;Cools;Camille;;arbeider/werkman
cool057;Cool;S.;;politicus/staatsman/bestuurder
cool058;Cools;Bob;;politicus/staatsman/bestuurder
cool059;Cools;Gerard;;beeldend kunstenaar/illustrator/tekenaar
cool067;Cool;W.;;militair/officier
cool068;Cools;Roger;;schilder
cool079;Cools;Jos.;;rk-geestelijke/kloosterling
coom006;Cooman;Jan;;militair/officier
coom007;Coomans;Henny;;natuurwetenschapper
coom009;Coomans;Johannes;;leraar/docent/hoogleraar
coom009;Coomans;Johannes;;theoloog
coom016;Coomans;Janna;;historicus/archeoloog
coom017;Coomans;E.;;politicus/staatsman/bestuurder
coom018;Coomans;J.B.;;advocaat/jurist
coom018;Coomans;J.B.;;boekdrukker/uitgever
coop001;Keilson;Hans;;zielsverzorger/psychol/ps.ther.
coop001;Keilson;Hans;;medicus/apotheker
coop003;Coopman;Th.;;ambtenaar
coop004;Coopmans;Gadso;;medicus/apotheker
coop004;Coopmans;Gadso;;onderwijzer (basisschool)
coop005;Coopmans;Valère;;onderwijzer (basisschool)
coop009;Coopman Thzn.;Hendrik;;beeldend kunstenaar/illustrator/tekenaar
coop013;Cooperen;Jacob Jan;van;zeevarende
coop013;Cooperen;Jacob Jan;van;militair/officier
coop014;Coopmans;Laurentius;;rk-geestelijke/kloosterling
coop014;Coopmans;Laurentius;;theoloog
coop015;Coops;Jochem;;herv./geref. predikant/leraar
coop018;Cooper;Cornelis Cornelisz;;zeevarende
coop020;Coops;Pieter;;beeldend kunstenaar/illustrator/tekenaar
coop021;Coop à Groen;Roelof;;politicus/staatsman/bestuurder
coop023;Cooper;Susan;;journalist/redacteur
coop030;Coopmans;Brigitte;;vertaler
coor001;Coornhert;D.V.;;filosoof
coor001;Coornhert;D.V.;;beeldend kunstenaar/illustrator/tekenaar
coor001;Coornhert;D.V.;;vertaler
coor004;Coornaert;Maurits;;leraar/docent/hoogleraar
coor005;Coornhert;F.V.;;ambachtsman
coor005;Coornhert;F.V.;;boekdrukker/uitgever
coor005;Coornhert;F.V.;;vertaler
coor005;Coornhert;F.V.;;ambtenaar
coor007;Coornhout;Huich Janszoon;;historicus/archeoloog
coor008;Cooremans;Kamiel;;musicus/minstreel/jongleur
coor009;Cooreman;P.;;militair/officier
coor011;Coorne;Cornelis;;herv./geref. predikant/leraar
coor011;Coorne;Cornelis;;vertaler
coor012;Cooreman;Talitha;;vertaler
coor013;Cooren;Claes;;zeevarende
coor016;Coorevits;Raf;;beeldend kunstenaar/illustrator/tekenaar
coor018;Coorevits;Jaak;;militair/officier
coor019;Cooremans;Hedwig;;vertaler
coos001;Coosemans;Alexis;;schilder
coot001;Cooth;A.M.C.;van;herv./geref. predikant/leraar
coot002;Cootwijk;Johannes;van;leraar/docent/hoogleraar
coot002;Cootwijk;Johannes;van;advocaat/jurist
coot003;Cootwijk;Jurriaan;;ambachtsman
cop_001;Cop;M.J.;;leraar/docent/hoogleraar
cop_001;Cop;M.J.;;wiskundige
cop_002;Cop;A.;van de;herv./geref. predikant/leraar
copa001;Copal;Antonie;;politicus/staatsman/bestuurder
copa002;Copallius;Willem;;rk-geestelijke/kloosterling
cope002;Copes van Cattenburgh;Lodewijk Constantijn Rabo;;politicus/staatsman/bestuurder
cope003;Copes van Hasselt;C.J.G.;;advocaat/jurist
cope004;Copes;Hendrik;;ambtenaar
cope004;Copes;Hendrik;;aardrijkskundige/cartograaf
cope005;Copeland;Charles;;beeldend kunstenaar/illustrator/tekenaar
cope006;Cope;Lucas;;vertaler
copi001;Copinga;Obbo;;herv./geref. predikant/leraar
copi002;Copier;A.D.;;beeldend kunstenaar/illustrator/tekenaar
copi003;Copier;Andries;;ambachtsman
copi007;Copius;Gerard;;beeldend kunstenaar/illustrator/tekenaar
copp004;Coppens;Thera;;journalist/redacteur
copp006;Coppens van Diest;Gillis;;boekdrukker/uitgever
copp007;Coppenol;Lieven;van;leraar/docent/hoogleraar
copp008;Coppens;Jozef Antoon;;rk-geestelijke/kloosterling
copp008;Coppens;Jozef Antoon;;historicus/archeoloog
copp011;Coppens;Joseph;;rk-geestelijke/kloosterling
copp012;Coppé;Albert;;politicus/staatsman/bestuurder
copp013;Coppello;Servaas;van de;medicus/apotheker
copp015;Coppieters;Ch. B.G.;;politicus/staatsman/bestuurder
copp015;Coppieters;Ch. B.G.;;advocaat/jurist
copp016;Coppedraijer;;;zeevarende
copp017;Coppenolle;Hélène;van;beeldend kunstenaar/illustrator/tekenaar
copp023;Copping;Harold;;beeldend kunstenaar/illustrator/tekenaar
copp030;Coppe;Andries;;leraar/docent/hoogleraar
copp031;Coppenolle;Maurits;van;ambtenaar
copp032;Coppieters 't Wallant;Alfred;;advocaat/jurist
copp034;Coppé;Henri Joseph;;onderwijzer (basisschool)
copp036;Coppens;Luc;;leraar/docent/hoogleraar
copp037;Coppieters;Emmanuel;;leraar/docent/hoogleraar
copp039;Coppenolle;Emiel;van;rk-geestelijke/kloosterling
copp045;Coppes;Dolf;;politicus/staatsman/bestuurder
copp045;Coppes;Dolf;;rk-geestelijke/kloosterling
copp046;Coppens;Caroline;;vertaler
copp047;Coppieters;Joseph;;advocaat/jurist
copp047;Coppieters;Joseph;;ambtenaar
copp048;Coppin;Nicolas;;theoloog
copp050;Coppens;C.;;rk-geestelijke/kloosterling
copp054;Coppenolle;Em.;van;militair/officier
cops001;Cops;Jacob;;politicus/staatsman/bestuurder
cops002;Cops;Joh.;;ambtenaar
cops002;Cops;Joh.;;politicus/staatsman/bestuurder
cops003;Copsma;Cornelis;;theoloog
cops004;Cops;;;zeevarende
coqu002;Coques;Gonzales;;schilder
coqu003;Coqueville;Francois;de;militair/officier
coqu004;Coquerel;Athanase Laurent Charles;;leraar/docent/hoogleraar
coqu004;Coquerel;Athanase Laurent Charles;;herv./geref. predikant/leraar
coqu005;Coquerel Fils;Athanase;;herv./geref. predikant/leraar
cora002;Cora;;;vertaler
corb001;Corbeels;Pieter;;militair/officier
corb001;Corbeels;Pieter;;boekdrukker/uitgever
corb004;Corbelijn;Thomas;;boekhandelaar
corb007;Corbaut;L.;;politicus/staatsman/bestuurder
corb009;Corbiere;Jean Pierre;;musicus/minstreel/jongleur
corb010;Corbex-Buvens;Flory;;vertaler
corb011;Corbey;Raymond;;leraar/docent/hoogleraar
corc001;Corck;Gérard;;medicus/apotheker
cord002;Cordemans;Marcel;;journalist/redacteur
cord002;Cordemans;Marcel;;historicus/archeoloog
cord005;Cordes;Jean;de;vertaler
cord005;Cordes;Jean;de;rk-geestelijke/kloosterling
cord007;Cordatus;Adrianus;;rk-geestelijke/kloosterling
cord008;Cordelois;J.;;politicus/staatsman/bestuurder
cord009;Cordes;H.;;luthers predikant/leraar
cord010;Cordes;H.F.;;militair/officier
cord011;Cordes;J.W.H.;;ambtenaar
cord012;Cordes;L.G.;;luthers predikant/leraar
cord013;Cordes;P.;;luthers predikant/leraar
cord014;Cordes;Balthasar;de;zeevarende
cord015;Cordes;Simon I;de;zeevarende
cord016;Cordes;S.;de;zeevarende
cord017;Cordova;I.H. ben J.;de;boekdrukker/uitgever
cord018;Cordova;Jacob Haim de Mosseh Raphael;de;boekdrukker/uitgever
cord019;Cordova;J.H.;de;joods geestelijke
cord020;Corduanier;J.B.;de;rk-geestelijke/kloosterling
cord025;Corda;Alessandra;;leraar/docent/hoogleraar
cord027;Cordier;Thierry;de;beeldend kunstenaar/illustrator/tekenaar
core002;Coreet;Daniël;;herv./geref. predikant/leraar
core003;Corell;J.;;herv./geref. predikant/leraar
core004;Coren;Jacob Gerritsz.;;advocaat/jurist
core004;Coren;Jacob Gerritsz.;;politicus/staatsman/bestuurder
core005;Corenhuijsen;Willem;;leraar/docent/hoogleraar
core005;Corenhuijsen;Willem;;advocaat/jurist
core009;Corens;F.;;beeldend kunstenaar/illustrator/tekenaar
corf001;Corff;C.;;politicus/staatsman/bestuurder
corf001;Corff;C.;;ambtenaar
cori002;Corina;;;beeldend kunstenaar/illustrator/tekenaar
cori003;Corin;A.L.;;filosoof
cori003;Corin;A.L.;;letterkundige (NIET-neerl.)
cori003;Corin;A.L.;;vertaler
corj001;Corjanus;Marjolein;;vertaler
corj001;Corjanus;Marjolein;;journalist/redacteur
corl002;Corlee;M.;;militair/officier
corl003;Corley;Franciscus;;rk-geestelijke/kloosterling
corm001;Corman;Mathieu;;boekdrukker/uitgever
corm001;Corman;Mathieu;;beeldend kunstenaar/illustrator/tekenaar
corm001;Corman;Mathieu;;journalist/redacteur
corm002;Cormaillon;Jean de Bonnat Heer;van;politicus/staatsman/bestuurder
corm002;Cormaillon;Jean de Bonnat Heer;van;politicus/staatsman/bestuurder
corm003;Cormier;Robert;;journalist/redacteur
corn007;Cornelissen;Igor;;journalist/redacteur
corn008;Cornelissen;J.D.M.;;leraar/docent/hoogleraar
corn008;Cornelissen;J.D.M.;;historicus/archeoloog
corn009;Cornelissen;Jozef;;onderwijzer (basisschool)
corn012;Cornets de Groot;R.A.;;onderwijzer (basisschool)
corn012;Cornets de Groot;R.A.;;beeldend kunstenaar/illustrator/tekenaar
corn014;Cornette;Arthur H.;;kunsthistoricus/kunsthandelaar
corn014;Cornette;Arthur H.;;leraar/docent/hoogleraar
corn015;Cornillie;Patrick;;leraar/docent/hoogleraar
corn016;Cornelison;Adriaen;;boekdrukker/uitgever
corn017;Cornelius;Andreas;;musicus/minstreel/jongleur
corn018;Cornette;Karel Jan;;ambachtsman
corn020;Cornets de Groot van Kraaijenburg;Johan Pieter;;politicus/staatsman/bestuurder
corn021;Cornelisz;Pieter;;herv./geref. predikant/leraar
corn024;Cornelissen;Chr.;;leraar/docent/hoogleraar
corn024;Cornelissen;Chr.;;journalist/redacteur
corn025;Cornets de Groot;Rutger H.;;vertaler
corn031;Cornelissen;J.J.;;classicus
corn031;Cornelissen;J.J.;;leraar/docent/hoogleraar
corn032;Cornelissen;A.J.M.;;advocaat/jurist
corn035;Cornabé;F.;;diplomaat
corn035;Cornabé;F.;;militair/officier
corn036;Cornabé;F.D.v.;;militair/officier
corn037;Corneli;J.J.F.M.H.;;politicus/staatsman/bestuurder
corn038;Cornelis;Adr.;;zeevarende
corn041;Cornelis;K.L.J.;;advocaat/jurist
corn041;Cornelis;K.L.J.;;politicus/staatsman/bestuurder
corn042;Cornelis;Meester;;zielsverzorger/psychol/ps.ther.
corn043;Corneliss;Joan.;;rk-geestelijke/kloosterling
corn044;Cornelissen;Jac.;;advocaat/jurist
corn044;Cornelissen;Jac.;;politicus/staatsman/bestuurder
corn045;Cornand;Jan;;journalist/redacteur
corn046;Cornelisz.;Adr.;;medicus/apotheker
corn047;Cornelisz.;Adr.;;leraar/docent/hoogleraar
corn047;Cornelisz.;Adr.;;doopsgezind predikant/leraar
corn048;Cornelisz.;Andries;;luthers predikant/leraar
corn048;Cornelisz.;Andries;;herv./geref. predikant/leraar
corn050;Cornelisz.;C.;;ambachtsman
corn053;Cornelisz.;Jac.;;zeevarende
corn054;Cornelisz.;Joan.;;rk-geestelijke/kloosterling
corn055;Cornelisz.;Job;;zeevarende
corn059;Cornelisz.;Petrus;;herv./geref. predikant/leraar
corn060;Cornelisz.;Pieter;;ambachtsman
corn060;Cornelisz.;Pieter;;koopman/zakenman/indust.
corn061;Cornelisz.;Willem;;zeevarende
corn062;Cornelisz.;IJsbr.;;zeevarende
corn063;Cornelisz. van Oostsanen;J.;;beeldend kunstenaar/illustrator/tekenaar
corn063;Cornelisz. van Oostsanen;J.;;schilder
corn064;Cornelius;H. Chr.;;militair/officier
corn064;Cornelius;H. Chr.;;historicus/archeoloog
corn064;Cornelius;H. Chr.;;aardrijkskundige/cartograaf
corn065;Cornelius;Jac.;;herv./geref. predikant/leraar
corn067;Cornet;Pieter;;ambtenaar
corn068;Cornielje;J.H.;;medicus/apotheker
corn070;Cornabé;Daniel Jacques Louis;;architect/bouwmeester/bouwkundig ingenieur
corn070;Cornabé;Daniel Jacques Louis;;militair/officier
corn070;Cornabé;Daniel Jacques Louis;;zeevarende
corn071;Cornelis;Coenraad;;ambachtsman
corn072;Cornelis;Willem;;zeevarende
corn073;Cornelis van 's Bosch;;;beeldend kunstenaar/illustrator/tekenaar
corn073;Cornelis van 's Bosch;;;ambachtsman
corn074;Cornelisse;Christiaan;;zeevarende
corn081;Cornelisz;Cornelis;;schilder
corn095;Cornelis;Arnold;;leraar/docent/hoogleraar
corn106;Cornips;Thérèse;;vertaler
corn107;Cornelisse;Wilma;;journalist/redacteur
corn109;Cornelius;Bert;;beeldend kunstenaar/illustrator/tekenaar
corn110;Cornelissen;W.J.;;vertaler
corn111;Cornelissen;H.A.;;vertaler
corn114;Cornelis;Gerardus Egidius;;magistraat
corn116;Cornely;Philomenus;;rk-geestelijke/kloosterling
corn118;Cornelissen;Frans;;leraar/docent/hoogleraar
corn120;Cornette;Théophile;;medicus/apotheker
corn131;Cornelius;Peter;von;beeldend kunstenaar/illustrator/tekenaar
corn137;Cornarius;Janus;;medicus/apotheker
corn143;Cornelissen;Eefke;;vertaler
corn143;Cornelissen;Eefke;;beeldend kunstenaar/illustrator/tekenaar
corn144;Cornelius;Violette;;fotograaf
corn145;Corner;Philip;;musicus/minstreel/jongleur
corn147;Cornell;Joseph;;beeldend kunstenaar/illustrator/tekenaar
corn151;Cornelisse;Fred;;journalist/redacteur
corn152;Cornet;Heleen;;beeldend kunstenaar/illustrator/tekenaar
corn161;Cornellie;E.;;militair/officier
corn164;Cornelis;Ellen;;beeldend kunstenaar/illustrator/tekenaar
coro001;Coronel;Samuël Senior;;medicus/apotheker
coro003;Coronel;Luis;;rk-geestelijke/kloosterling
coro003;Coronel;Luis;;advocaat/jurist
corp001;Corput;Abraham;van den;theoloog
corp001;Corput;Abraham;van den;herv./geref. predikant/leraar
corp002;Corput;A.;van den;herv./geref. predikant/leraar
corp003;Corput;H.;van den;herv./geref. predikant/leraar
corp003;Corput;H.;van den;advocaat/jurist
corp004;Corput;J.;van den;magistraat
corp008;Corput;J. Francq;van den;ambachtsman
corp010;Corporaal;Joke;;journalist/redacteur
corr002;Correa;Desiree;;leraar/docent/hoogleraar
corr004;Corrozet;Gilles;;boekdrukker/uitgever
cors001;Corsari;Willy;;toneelspeler
cors002;Corsen;Charles;;schilder
cors002;Corsen;Charles;;beeldend kunstenaar/illustrator/tekenaar
cors003;Corsen;J.S.;;musicus/minstreel/jongleur
cors006;Corsman;W.;;vertaler
cors006;Corsman;W.;;herv./geref. predikant/leraar
cors007;Corstensz;C.;;herv./geref. predikant/leraar
cors008;Corstius;Jacobus;;herv./geref. predikant/leraar
cors009;Corstius;Melchior;;herv./geref. predikant/leraar
cors010;Corstius;Melchior;;herv./geref. predikant/leraar
cors011;Corssz;Cors;;arbeider/werkman
cors017;Corstjens;Jan;;leraar/docent/hoogleraar
cort001;Cort;Aimé;de;journalist/redacteur
cort001;Cort;Aimé;de;onderwijzer (basisschool)
cort002;Cort;Frans;de;journalist/redacteur
cort002;Cort;Frans;de;ambtenaar
cort002;Cort;Frans;de;vertaler
cort003;Cort van der Linden;P.W.A.;;leraar/docent/hoogleraar
cort003;Cort van der Linden;P.W.A.;;advocaat/jurist
cort003;Cort van der Linden;P.W.A.;;politicus/staatsman/bestuurder
cort004;Corte;Jules;de;musicus/minstreel/jongleur
cort011;Cort;Cornelis;;beeldend kunstenaar/illustrator/tekenaar
cort012;Corte;J.;de;rk-geestelijke/kloosterling
cort013;Corten;M.R.H.;;rk-geestelijke/kloosterling
cort013;Corten;M.R.H.;;leraar/docent/hoogleraar
cort014;Corten;Reinier;;politicus/staatsman/bestuurder
cort015;Cortenaer;E. Mz.;;zeevarende
cort015;Cortenaer;E. Mz.;;militair/officier
cort016;Cortenbach;Adolf;van;militair/officier
cort027;Corte;Georges;de;leraar/docent/hoogleraar
cort030;Cort van der Linden;R.A.D.;;zeevarende
cort030;Cort van der Linden;R.A.D.;;musicus/minstreel/jongleur
cort034;Cortensz;Cornelis;;herv./geref. predikant/leraar
cort036;Cortebeek;Constance;;leraar/docent/hoogleraar
cort038;Cortvriendt;Sylvain Frans Edward;;agrariër
cort038;Cortvriendt;Sylvain Frans Edward;;leraar/docent/hoogleraar
cort040;Corte;Jacobus;de;politicus/staatsman/bestuurder
cort049;Cortona;Pietro;da;beeldend kunstenaar/illustrator/tekenaar
corv001;Corver;Maarten;;toneelspeler
corv004;Corver;Johan;;politicus/staatsman/bestuurder
corv005;Corver;Jan;;politicus/staatsman/bestuurder
corv006;Corver;Gerrit;;politicus/staatsman/bestuurder
corv009;Corvinus;Arnoldus;;leraar/docent/hoogleraar
corv009;Corvinus;Arnoldus;;rk-geestelijke/kloosterling
corv010;Corvinus;Jelle;;herv./geref. predikant/leraar
corv013;Corver-van Haaften;Joke;;politicus/staatsman/bestuurder
corv015;Corver;Simon;;boekdrukker/uitgever
corv017;Corver;Henny;;vertaler
cory002;Cory;Fanny Y.;;beeldend kunstenaar/illustrator/tekenaar
cory003;Coryn;Jacques;;leraar/docent/hoogleraar
cory003;Coryn;Jacques;;schilder
cos_002;Cos;S.;;politicus/staatsman/bestuurder
cos_004;Cos;Joan;;advocaat/jurist
cosi001;Cosijn;P.J.;;leraar/docent/hoogleraar
cosi002;Cosijns;Adrianus;;rk-geestelijke/kloosterling
cosi003;Cosijn;August Josef;;onderwijzer (basisschool)
cosi004;Cosin;John;;rk-geestelijke/kloosterling
cosi005;Cosic;Bora;;vertaler
cosi005;Cosic;Bora;;journalist/redacteur
cosi006;Cosijn-Gouda;A.C.;;vertaler
cosi007;Cosimo;Piero;di;beeldend kunstenaar/illustrator/tekenaar
cosj001;Cosjaar;C.J.W.;;beeldend kunstenaar/illustrator/tekenaar
cosm001;Cosman;H.;;advocaat/jurist
coss001;Cossee;Eva;;boekdrukker/uitgever
coss004;Cossart;J.;;politicus/staatsman/bestuurder
coss005;Cossiau;Johannes Jost D;;schilder
coss006;Cosson;Daniël;;historicus/archeoloog
coss007;Cossey;Albrecht;;ambachtsman
cost001;Coster;Samuel;;medicus/apotheker
cost001;Coster;Samuel;;politicus/staatsman/bestuurder
cost002;Costa;Isaäc;da;advocaat/jurist
cost002;Costa;Isaäc;da;herv./geref. predikant/leraar
cost006;Coster;Dirk;;letterkundige (NIET-neerl.)
cost006;Coster;Dirk;;vertaler
cost006;Coster;Dirk;;journalist/redacteur
cost008;Coster;Laurens Janszoon;;boekdrukker/uitgever
cost010;Costers;Jacomijne;;rk-geestelijke/kloosterling
cost011;Costerus;Florentius;;herv./geref. predikant/leraar
cost013;Coster;Hermanus;;musicus/minstreel/jongleur
cost017;Costerus;Bernard;;advocaat/jurist
cost017;Costerus;Bernard;;magistraat
cost018;Costerus;Pieter Jacob;;politicus/staatsman/bestuurder
cost020;Coster;Charles;de;beeldend kunstenaar/illustrator/tekenaar
cost021;Cost Jordens;W.H.;;advocaat/jurist
cost023;Costerus;J.C.;;natuurwetenschapper
cost023;Costerus;J.C.;;leraar/docent/hoogleraar
cost025;Coster;D.J.;;medicus/apotheker
cost025;Coster;D.J.;;natuurwetenschapper
cost026;Coster;H.J.;;politicus/staatsman/bestuurder
cost030;Costa;Uriel;da;joods geestelijke
cost030;Costa;Uriel;da;advocaat/jurist
cost031;Costa Abendana;A.;de;archivaris/bibliothecaris
cost032;Coste;E. Ch. G.G.;de la;militair/officier
cost032;Coste;E. Ch. G.G.;de la;politicus/staatsman/bestuurder
cost034;Coster;C.H.;;musicus/minstreel/jongleur
cost034;Coster;C.H.;;leraar/docent/hoogleraar
cost035;Coster;M. Jz.;;medicus/apotheker
cost037;Coster;Joan;de;filosoof
cost037;Coster;Joan;de;leraar/docent/hoogleraar
cost038;Coster;H.;die;leraar/docent/hoogleraar
cost039;Coster;T.H. Blom;;medicus/apotheker
cost040;Costerius;A.I.J.;;rk-geestelijke/kloosterling
cost041;Costerius de Boschoven;Th.B.J.;;ambtenaar
cost043;Costerus;Abr.;;herv./geref. predikant/leraar
cost043;Costerus;Abr.;;vertaler
cost044;Costerus;Alb.;;zeevarende
cost045;Costerus;J.;;herv./geref. predikant/leraar
cost046;Costerus;W.;;herv./geref. predikant/leraar
cost047;Costius;Cornelius;;herv./geref. predikant/leraar
cost048;Costius;Johannes;;herv./geref. predikant/leraar
cost051;Cost;Johannes;;architect/bouwmeester/bouwkundig ingenieur
cost052;Cost;Jurrianus;van der;advocaat/jurist
cost052;Cost;Jurrianus;van der;leraar/docent/hoogleraar
cost053;Coster;Willem Jacobszoon;;zeevarende
cost054;Coster;Wijnold;de;rk-geestelijke/kloosterling
cost057;Costa Gomez;Elizabeth;da;vertaler
cost067;Costa Gomez;M.F.;da;politicus/staatsman/bestuurder
cost070;Coster;Johanna;;beeldend kunstenaar/illustrator/tekenaar
cost073;Costera Meijer;Irene;;leraar/docent/hoogleraar
cost073;Costera Meijer;Irene;;journalist/redacteur
cost075;Costerus;Johannes;;politicus/staatsman/bestuurder
cost075;Costerus;Johannes;;herv./geref. predikant/leraar
cott001;Cottaar;Annemarie;;historicus/archeoloog
cott001;Cottaar;Annemarie;;journalist/redacteur
cott004;Cottereau;J.L.;de;rk-geestelijke/kloosterling
cott007;Cotteleer;Erika;;beeldend kunstenaar/illustrator/tekenaar
cott009;Cotthem;Freddy;van;beeldend kunstenaar/illustrator/tekenaar
couc004;Coucke;Martinus;;rk-geestelijke/kloosterling
coud002;Coudenberghe;Jan;de;rk-geestelijke/kloosterling
coud003;Coudenberghe;Paulus;de of van;rk-geestelijke/kloosterling
coud005;Coudenys;Wim;;letterkundige (NIET-neerl.)
coud012;Cousins;Lucy;;beeldend kunstenaar/illustrator/tekenaar
coue001;Coué;Jean;;journalist/redacteur
coul001;Coulon;Julius Vitringa;;medicus/apotheker
coul002;Coulster;A.;van;militair/officier
coul003;Coulster;Lieven;van;koopman/zakenman/indust.
coul004;Coulster;Ludolf;van;zeevarende
coul005;Coulster;Servaes Joosten;van;militair/officier
coul005;Coulster;Servaes Joosten;van;zeevarende
coul011;Coul;Paul;Op de;leraar/docent/hoogleraar
coul013;Coulon;Alfons;;rk-geestelijke/kloosterling
coul016;Coulon;R.;;leraar/docent/hoogleraar
coul017;Coulomb;Jean Claude;;beeldend kunstenaar/illustrator/tekenaar
coul018;Coulembier;Klaas;;musicus/minstreel/jongleur
coul022;Coul;Michiel;Op de;vertaler
coum002;Coumans;Willem K.;;journalist/redacteur
coum004;Coumans;Kiki;;vertaler
coum005;Coumont;Arnould;de;militair/officier
coun003;Coune;M.;;rk-geestelijke/kloosterling
coun005;Coune;Michel;;leraar/docent/hoogleraar
coun005;Coune;Michel;;journalist/redacteur
coun008;Counhaye;Robert;;fotograaf
coup003;Couperus;Mollerus;;herv./geref. predikant/leraar
coup005;Couprie;L.D.;;kunsthistoricus/kunsthandelaar
coup006;Couper;Jac.;;politicus/staatsman/bestuurder
coup006;Couper;Jac.;;militair/officier
coup007;Couperus;Ger.;;herv./geref. predikant/leraar
coup008;Couperus;Jan;;advocaat/jurist
coup008;Couperus;Jan;;politicus/staatsman/bestuurder
coup009;Couperus;Joh.;;herv./geref. predikant/leraar
coup010;Couperus;Petrus;;herv./geref. predikant/leraar
coup011;Couperus;P. Th.;;herv./geref. predikant/leraar
coup013;Couperus;Janus Ricus;;magistraat
coup016;Coupland;Douglas;;beeldend kunstenaar/illustrator/tekenaar
coup018;Coup;Pieter;de;boekhandelaar
coup018;Coup;Pieter;de;boekdrukker/uitgever
coup019;Coup;Willem;de;boekhandelaar
